# Divarasib (ROG): a KRAS G12C inhibitor. Phase 3 Krascendo 1 (NCT06497556) against the two
# approved G12C inhibitors, primary completion 19 May 2026 ACTUAL. Roche's release of 2 July
# 2026 states it met its primary and key secondary endpoints, with overall survival
# significant at the interim, and that data will be submitted. No hazard ratio is public.
# Phase 1: 53.4% confirmed response and 13.1 months median PFS in 58 evaluable NSCLC
# patients (Sacher et al., NEJM 2023). Only the NSCLC row is modelled; the broader lung
# neoplasms row on the same asset would count the same patients twice.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ROG,Divarasib,,US,base,cogs_pct,,0.27058,,share of revenue,"ROG FY2025 from Roche Finance Information Tool, group financial data workbook, FY2025: cost of sales CHF 16,645mm on sales of 61,516mm. The sheet's own six components sum to it exactly","Roche does not file with the SEC, so this comes from the workbook it publishes for investors rather than from EDGAR"
ROG,Divarasib,,US,base,rd_pct,,0.217049,,share of revenue,"ROG FY2025: research and development CHF 13,352mm on sales of 61,516mm","the IFRS charge, not the CHF 12,832mm core figure below it in the sheet, which adds back amortisation and impairment"
ROG,Divarasib,,US,base,sga_pct,,0.246456,,share of revenue,"ROG FY2025: selling, general and administration CHF 15,161mm on sales of 61,516mm, its four components summing to it exactly",
ROG,Divarasib,,US,base,other_costs_pct,,-0.03443,,share of revenue,"solved so the charges reconcile to the filed operating profit of CHF 18,476mm. It is negative because Roche books other revenue of 1,840mm and other operating income of 278mm above the line, and those two sum to exactly the 2,118mm this credits back","the same convention AstraZeneca and GSK carry, both also negative"
ROG,Divarasib,,US,base,tax_rate,,0.187003,,effective rate,"ROG FY2025: income taxes of CHF 3,174mm on profit before taxes of 16,973mm","a single year rather than a five-year aggregate, because the workbook carries only the current year"
ROG,Divarasib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Read live (fetchers/rates_fred.py)",
ROG,Divarasib,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month cash yield variant",
ROG,Divarasib,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.46 raw)","measured on the RHHBY ADR against the S&P 500, which is the only Roche price series on file. A beta measured on the SIX-listed ordinary share against a Swiss index would not be the same number"
ROG,Divarasib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data",
ROG,Divarasib,,US,base,debt_weight,,0.098037,,,"filed long-term debt of CHF 31,636mm at 2025-12-31 from the workbook's balance sheet, over debt plus a market capitalisation of CHF 291.1bn: 802,992,519 diluted shares at 0.125 ordinary per ADR, so 6,423,940,150 ADRs at the RHHBY close of $55.06 on 2026-09-23, converted at CHF/USD 1.215229","ROCHE HAS TWO SHARE CLASSES AND THIS PRICES BOTH OFF ONE. The count is derived from Roche's own published per-share figure, which is struck on bearer shares and non-voting equity securities together, while RHHBY is an ADR over the non-voting security alone. The two trade close but not equal, so this market capitalisation is approximate. It moves the weight and not the cost ratios"
ROG,Divarasib,,US,base,therapy_mode,,,chronic,,an oral taken daily until progression,
ROG,Divarasib,,US,base,list_price_per_patient,,0.080878,,mm CHF per year,"Lumakras (sotorasib), CMS Part D 2024: $153,620,120.69 over 1,563 beneficiaries = $98,285.43, converted at CHF/USD 1.2152289669861556, ECB via fetchers/fx_ecb.py, as of 2026-09-23 to CHF 80,877.76","Lumakras's launch WAC of $17,900 a month, $214,800 a year, would give CHF 176,757, 2.19x this. Not used, because backend/gross_to_net.py calibrates the 0.5 against the per-beneficiary basis and not against a list price, and no measured gross-to-net exists for Lumakras"
ROG,Divarasib,,US,base,gross_to_net_pct,,0.5,,share off list,"Part D gross-to-net convention, measured at a median 96% of CMS's own negotiated net annual prices across the nine cycle-one IRA drugs (backend/gross_to_net.py)",
ROG,Divarasib,,US,base,discontinuation_pct,,0.47,,share of the stock per year,"divarasib's own 13.1-month median progression-free survival at a constant hazard: 0.5^(12/13.1) = 0.530 remain after a year, so 47.0% stop","the book's treat-to-progression convention, the same arithmetic etentamig and PF-08046054 use"
ROG,Divarasib,,US,base,forecast_start_year,,2028,,year,"Krascendo 1's primary completion was 19 May 2026 and Roche will submit, so approval about 2027 and 2028 the first full year",
ROG,Divarasib,"Carcinoma, Non-Small-Cell Lung",US,base,eligible_pct,,0.033079,,share of the pool,"13.8% of NSCLC carries KRAS G12C (1,443 of 10,444, AACR GENIE), times 51% distant stage at diagnosis (SEER), times 47% of advanced patients given first-line platinum reaching a second line (4,033 of 8,577, SEER-Medicare, PMID 29983370): 0.033079, about 6,373 a year","a floor: it leaves out unresectable stage III and any first-line label. Prevalence and incidence, both 192,650, come from data/epidemiology.csv"
ROG,Divarasib,"Carcinoma, Non-Small-Cell Lung",US,base,penetration_peak_pct,,0.3387,,share of the untreated pool per year,"0.65x the measured G12C class capture. Lumakras and Krazati together went from 1,970 CMS beneficiaries in 2023 to 2,605 in 2024; at 55% and at 77.4% discontinuation the new starts are 46.2% and 58.0% of the Medicare-eligible G12C second line, midpoint 52.1%","Nine assets now sit on this indication and their eligible shares sum to 1.21 of the pool, which looks like over-claiming and is not, because at these penetrations the nine start about a quarter of each year's diagnoses between them, so backend/pool_crowding.py never finds the pool exhausted and leaves this row whole. What the shared-pool solve cannot see is overlap between the sub-populations each eligible share describes, and that is where any real double count on this indication lives. The 0.65 multiple is a judgement resting on a press-release adjective: the head-to-head superiority is stated and not yet quantified"
ROG,Divarasib,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"the house oncology fit to Enhertu's CMS Part B beneficiaries, 864 to 8,410 over 2020 to 2024, which is the only identified oncology launch curve on file",
ROG,Divarasib,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_steepness,,1.08,,logistic k,the same Enhertu fit,
