# Sigvotatug Vedotin (PFE).
# Sigvotatug vedotin (SGN-B6A, PF-08046047) is a Seagen-originated integrin beta-6 directed vedotin ADC, wholly owned by Pfizer. Its second-line Phase 3 SigVie-002 (Be6A Lung-01, NCT06012435, against docetaxel) did not meet its overall survival primary endpoint (Pfizer, 22 June 2026), so the modelled path is the remaining Phase 3, SigVie-003 (Be6A Lung-02, NCT06758401): sigvotatug vedotin plus pembrolizumab against pembrolizumab alone in first-line NSCLC with PD-L1 TPS of 50% or more, 714 patients, dual primary PFS and OS, primary completion 2028-09. Modelled: that first-line TPS-high population only. Not modelled: the failed second-line indication, and the Phase 1 cohorts in other tumours. Price anchor: Padcev, Pfizer's own vedotin ADC, at $107,856 per CMS Part B beneficiary in 2025. Uptake anchor: EV+P, a vedotin ADC plus pembrolizumab in first line, reached 51% of US first-line urothelial patients in its first full year, halved here as a judgement.
#
# Researched 2026-09-24 on branch claude/youthful-curie-bux19h, then verified on 2026-09-26 against main's settled seed rules: price moved to 2025, gross-to-net set to the house figure, and the uptake anchor cited from its own source rather than another seed. Each correction is named in its row's note.
# Company-level rows copied from pfe_abrysvo.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Sigvotatug Vedotin,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,other_costs_pct,,0.126603,,share of revenue,"derived: Pfizer generated $23,703mm of free cash flow on $185,759mm of revenue over 2023, 2024 and 2025, a 12.76% margin, against the 33.8% its cost of sales, SG&A and R&D leave. The 2021 and 2022 COVID years are excluded because a 36% margin on a vaccine windfall is not what this company earns. Restated before interest: PFE paid $8,181mm of interest inside operating cash flow over 2023 to 2025, 4.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 22.18% to 17.77%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Restated without one-off cash: PFE's free cash flow over 2023 to 2025 carried $1,350mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $63mm of legal settlements; $4,400mm of US transition tax (2023 instalment 1,000mm; 2024 instalment 1,300mm; 2025 instalment 2,100mm). None recurs, so the charge falls from 17.77% to 14.52%. Restated without working capital build: over 2023 to 2025 PFE's cash flow statement shows receivables up $25mm, inventories up $1,462mm, payables down $1,792mm, a working capital build of $3,279mm, 1.77% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 14.52% to 12.66%.","amortisation of acquired intangibles above all, then restructuring and the rest. Pfizer bought Seagen and its filed expense lines do not carry what that cost. Without this row the model values the company at nearly three times the cash it makes"
PFE,Sigvotatug Vedotin,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Sigvotatug Vedotin,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
