# CAPVAXIVE (MRK). $759mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients. Growth is read off Table 3, which prints this line's own quarters.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,CAPVAXIVE,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as its own revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,CAPVAXIVE,,US,base,base_revenue,,759.0,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor. Its quarters are on file from Table 3 and sum to it
MRK,CAPVAXIVE,,US,base,revenue_growth_pct,,0.377119,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales: $325mm in the first half of 2026 against $236mm in the first half of 2025","the halves, which is the most recent full comparison the filing gives"
MRK,CAPVAXIVE,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,CAPVAXIVE,,US,base,growth_fade_years,,5,,years,"measured from 52 drugs that grew 25% to 50% a year: the median took 4.5 years of fading growth to reach its peak revenue (quartiles 2.5 to 8), each fitted to its own climb in data/growth_analogues.csv. Kaplan-Meier across drugs, 22 of them censored because they are still near their best or lost exclusivity at their peak",
MRK,CAPVAXIVE,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,CAPVAXIVE,,US,base,forecast_years,,16,,years,set to run past the 2036 loss of exclusivity and through the erosion tail,
MRK,CAPVAXIVE,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies to it"
MRK,CAPVAXIVE,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,CAPVAXIVE,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,CAPVAXIVE,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,CAPVAXIVE,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,CAPVAXIVE,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,CAPVAXIVE,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck asset carries"
