# Imdelltra (AMGN). $627mm in FY2025, approved for extensive-stage small cell lung cancer after platinum chemotherapy.
#
# Marketed, anchored on the reported year and grown at the pace the first half of 2026
# implies. Amgen reports it inside Other products on the SEC product axis, so the revenue
# is read from its 10-K and 10-Q tables (data/product_revenue.csv). The US and European
# dates are Amgen's own patent table.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AMGN,Imdelltra,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
AMGN,Imdelltra,,US,base,base_revenue,,627,,mm USD,"AMGN FY2025 10-K (0000318154-26-000010), MD&A other product sales table: IMDELLTRA/IMDYLLTRA U.S. and ROW sum to 627mm in FY2025, against 115mm in FY2024","the anchor; Amgen reports it inside Other products on the SEC product axis, so the table is read, as data/product_revenue.csv records"
AMGN,Imdelltra,,US,base,revenue_growth_pct,,0.789474,,"annual, near term","the 2026 the filed quarters imply against the FY2025 reported 627mm: the first half of 2026 as reported, 546mm, and the second half at the second quarter's pace, 288mm twice, 1,122mm. Amgen 10-Q for the quarter to 2026-06-30 (0000318154-26-000126), Note 3 revenues table, IMDELLTRA/IMDYLLTRA","a launch-phase rate, faded to flat over five years as every Amgen anchor is"
AMGN,Imdelltra,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
AMGN,Imdelltra,,US,base,growth_fade_years,,5,,years,"measured from 32 drugs that grew 50% to 100% a year: the median took 5 years of fading growth to reach its peak revenue (quartiles 3 to at least 9), each fitted to its own climb in data/growth_analogues.csv. Kaplan-Meier across drugs, 18 of them censored because they are still near their best or lost exclusivity at their peak",
AMGN,Imdelltra,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
AMGN,Imdelltra,,US,base,forecast_years,,16,,years,set to run past the 2036 loss of exclusivity and through the erosion tail,
AMGN,Imdelltra,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
AMGN,Imdelltra,,US,base,cogs_pct,,0.3275,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Imdelltra,,US,base,sga_pct,,0.1918,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Imdelltra,,US,base,rd_pct,,0.1979,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Imdelltra,,US,base,other_costs_pct,,-0.117004,,share of revenue,"derived and found to be nil: AMGN's filed expense lines already leave less than the 26.28% of revenue it turned into free cash over 2023 to 2025, so there is nothing left to charge. Restated before interest: AMGN paid $8,600mm of interest inside operating cash flow over 2023 to 2025, 8.74% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so adding it back only widens a gap the filed lines already leave, and the charge stays nil. Restated at replacement capex: AMGN spent $4,066mm on plant over 2023 to 2025 against $2,142mm of plant depreciation, 1.96% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: AMGN's free cash flow over 2023 to 2025 carried $1,800mm of US transition tax (2025 instalment 1,800mm). None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 28.28% pre-tax margin where the cash over 2023 to 2025 supports 43.05%, so the charge rebuilds at -14.77%. It was held at nil, but AMGN books $4,300mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000318154-26-000010), 11.70% of revenue, so the charge stops at that floor: -11.70%. Restated without working capital build: over 2023 to 2025 AMGN's cash flow statement shows receivables up $3,250mm, inventories down $3,909mm, payables up $338mm, a working capital release of $997mm, 1.01% of revenue. A release flatters the window once and does not recur, so the charge was held at the amortisation floor, -11.70% where the filed figures rebuild it at -14.77%, and stays there.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
AMGN,Imdelltra,,US,base,tax_rate,,0.1236,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
AMGN,Imdelltra,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AMGN,Imdelltra,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
AMGN,Imdelltra,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.41 raw)",
AMGN,Imdelltra,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AMGN,Imdelltra,,US,base,debt_weight,,0.194802,,,"filed TotalDebt of $57,304mm over debt plus market capitalisation: 540.6mm shares at 2026-07-30 at the $438.12 close of 2026-09-01",
