# Ibuzatrelvir (PFE): PF-07817883, an oral SARS-CoV-2 main protease (3CL) inhibitor taken twice
# daily for five days without ritonavir, so a different molecule from Paxlovid's
# nirmatrelvir plus ritonavir. Two Phase 3s, both Pfizer-sponsored and recruiting:
# NCT06679140 (n=2,330, placebo-controlled, non-hospitalised high-risk patients aged 12 and
# over who are unable or unwilling to take nirmatrelvir/ritonavir, primary completion
# 2027-10-01) and NCT07013474 (n=300, severely immunocompromised adults, against and with
# remdesivir, primary completion 2027-09-28). Modelled as one COVID-19 line: people 65 and
# over seen as outpatients with COVID-19 who do not take Paxlovid, which is the Phase 3's own
# entry condition, so the book's Paxlovid model keeps the patients who do and the pool is
# not counted twice. The peak is GlobalData's US forecast; the immunocompromised trial is
# inside that figure rather than a pool of its own. The formulation row 'Ibuzatrelvir
# co-process API film coated tablet' (asset 2577) is the same molecule and carries no seed.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,ibuzatrelvir,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,other_costs_pct,,0.12660363474697803,,share of revenue,"derived: Pfizer generated $23,703mm of free cash flow on $185,759mm of revenue over 2023, 2024 and 2025, a 12.76% margin, against the 33.8% its cost of sales, SG&A and R&D leave. The 2021 and 2022 COVID years are excluded because a 36% margin on a vaccine windfall is not what this company earns. Restated before interest: PFE paid $8,181mm of interest inside operating cash flow over 2023 to 2025, 4.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 22.18% to 17.77%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Restated without one-off cash: PFE's free cash flow over 2023 to 2025 carried $1,350mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $63mm of legal settlements; $4,400mm of US transition tax (2023 instalment 1,000mm; 2024 instalment 1,300mm; 2025 instalment 2,100mm). None recurs, so the charge falls from 17.77% to 14.52%. Restated without working capital build: over 2023 to 2025 PFE's cash flow statement shows receivables up $25mm, inventories up $1,462mm, payables down $1,792mm, a working capital build of $3,279mm, 1.77% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 14.52% to 12.66%.","amortisation of acquired intangibles above all, then restructuring and the rest. Pfizer bought Seagen and its filed expense lines do not carry what that cost. Without this row the model values the company at nearly three times the cash it makes"
PFE,ibuzatrelvir,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,ibuzatrelvir,,US,base,therapy_mode,,,one_time,,NCT06679140 arms (clinicaltrials.gov/api/v2/studies/NCT06679140): ibuzatrelvir orally every 12 hours for a total of 5 days; NCT07013474 gives it twice a day,"a single five-day course for each episode of COVID-19, billed once"
PFE,ibuzatrelvir,,US,base,list_price_per_patient,,0.00108856,,mm USD per course,"Paxlovid, CMS Medicare Part D 2025 from the quarterly companion 4ff7c618-4e40-483a-b390-c8a58c94fa15, row '2025 (Q1-Q4)', Overall: $729,270,968.20 over 669,938 beneficiaries = $1,088.56 a beneficiary, on 681,595 claims (1.02 a beneficiary, so about one course each). Paxlovid is the anchor because it matches on class, company, patients and course: Pfizer's own 3CL protease inhibitor, five days by mouth, for high-risk non-hospitalised COVID-19","Judgement on the comparator. The case for higher: Q1 2026 alone reads $1,509.28 a beneficiary (76,398), after the move off the US government supply agreement. The case for lower: Lagevrio, the ritonavir-free alternative ibuzatrelvir would displace, reads $989.80 (35,663) in the same 2025 file"
PFE,ibuzatrelvir,,US,base,gross_to_net_pct,,0.5,,share off list,"Part D gross-to-net convention, measured at a median 96% of CMS's own negotiated net annual prices across the nine cycle-one IRA drugs (backend/gross_to_net.py)",net $544.28 a course
PFE,ibuzatrelvir,,US,base,cogs_per_patient,,0.000139717,,mm USD per course,"derived: Pfizer's FY2025 cost of sales ratio, 25.67% of revenue as every pfe_*.csv seed carries it, applied to the $544.28 net course price: 0.2567 x 0.00054428 = 0.000139717. The same method as the VLA15 seed","a one-time build charges cost of goods per course and ignores cogs_pct, so without this row the drug would carry none. No per-course manufacturing cost is disclosed"
PFE,ibuzatrelvir,,US,base,forecast_start_year,,2029,,year,"earliest Phase 3 primary completion, NCT07013474 on 2027-09-28 (NCT06679140 follows on 2027-10-01), plus two years. Pfizer gives no launch year: its FY2025 10-K lists ibuzatrelvir among new drug candidates in late-stage development, and the Q2 2026 pipeline update shows it in Phase 3 with Fast Track",
PFE,ibuzatrelvir,,US,base,economics_share,,1.0,,share of the asset,"Pfizer FY2025 10-K (0000078003-26-000026), late-stage table: 'ibuzatrelvir (PF-07817883) COVID-19 infection' carries no footnote, where the partnered rows carry one (VLA15 (c) with Valneva, disitamab vedotin (d) with RemeGen). Pfizer is sole sponsor of both Phase 3s with no collaborator listed",wholly owned
PFE,ibuzatrelvir,COVID-19,US,base,prevalence,,4951100,,patients,"the year's own cases, stated equal to incidence so the engine reads no carryover: an acute infection is treated in the season it occurs or not at all",see incidence
