# Aleniglipron (GPCR).
# Aleniglipron (GSBR-1290) is Structure Therapeutics' once-daily oral small-molecule GLP-1 receptor agonist for chronic weight management. It is wholly owned through its subsidiary Gasherbrum Bio. The registrational Phase 3 programme is ACCOMPLISH, which started in August 2026. ACCOMPLISH-1 (NCT07654361) enrols up to 3,600 adults with obesity, or overweight with a weight-related comorbidity. ACCOMPLISH-2 (NCT07654374) enrols up to 1,100 adults who also have type 2 diabetes. Both test 45, 90 and 180 mg against placebo, with percent change in body weight as the primary endpoint. Both have a primary completion of 2028-09, and topline data are guided for 2H 2028. In Phase 2b ACCESS, weight loss was 11.3% placebo-adjusted at week 36 on 120 mg (Nature Medicine 2026, PMID 42249138). In ACCESS II it was 16.3% at week 44 on 180 mg (10-Q). Price anchor: the incretin median every obesity seed in the book uses, Ozempic at $6,642 per CMS Part D beneficiary in 2024, halved to net. Uptake anchor: 0.444 times the book's measured Zepbound capture of 4.3882%. That is the rung VK2735 holds, the other small company with no salesforce. Aleniglipron launches around 2030 behind Lilly's oral Foundayo (approved 2026-04-01), so it gets no oral premium.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows: own beta and debt; cost lines borrowed from LLY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GPCR,Aleniglipron,,US,base,beta,,1.08,,,"computed from 190 weekly returns vs S&P 500, 2023-W05 to 2026-W39, Blume-adjusted (1.12 raw)",
GPCR,Aleniglipron,,US,base,cogs_pct,,0.1696,,share of revenue,"comparator estimate: LLY's row, because aleniglipron is an oral small-molecule GLP-1 agonist for obesity, the market Lilly's orforglipron and Zepbound sell into, and Lilly is the comparator Viking already borrows for the same reason. GPCR has no product revenue of its own to read a ratio from. LLY's source: LLY FY2025 10-K, computed from the filed lines","a comparator, not a measurement; revisit when GPCR files a cost of sales"
GPCR,Aleniglipron,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GPCR,Aleniglipron,,US,base,debt_weight,,0,,,"no debt on the balance sheet: Structure's condensed balance sheet at 30 June 2026 (8-K exhibit 99.1, 6 August 2026) lists total liabilities of $71.0mm as accounts payable, accrued expenses, operating lease liabilities and other non-current liabilities, with no borrowings; no LongTermDebt, DebtCurrent or ShortTermBorrowings is tagged in its SEC company facts",a reading of the balance sheet
GPCR,Aleniglipron,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GPCR,Aleniglipron,,US,base,other_costs_pct,,0.168654,,share of revenue,"comparator estimate: LLY's row, because aleniglipron is an oral small-molecule GLP-1 agonist for obesity, the market Lilly's orforglipron and Zepbound sell into, and Lilly is the comparator Viking already borrows for the same reason. GPCR has no product revenue of its own to read a ratio from. LLY's source: derived: LLY turned 14.30% of revenue into free cash over 2018 to 2025 against the 38.1% its filed expense lines leave. Restated before interest: LLY paid $3,152mm of interest inside operating cash flow over 2018 to 2025, 1.17% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 28.46% to 27.30%. Restated at replacement capex: LLY spent $23,144mm on plant over 2018 to 2025 against $7,255mm of plant depreciation, 5.89% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 27.30% to 20.25%. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated without working capital build: over 2018 to 2025 LLY's cash flow statement shows receivables up $15,658mm, inventories up $10,223mm, payables and accrued liabilities up $18,257mm, a working capital build of $7,624mm, 2.83% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 20.25% to 16.87%.","a comparator, not a measurement; revisit when GPCR files a cost of sales"
GPCR,Aleniglipron,,US,base,rd_pct,,0.2046,,share of revenue,"comparator estimate: LLY's row, because aleniglipron is an oral small-molecule GLP-1 agonist for obesity, the market Lilly's orforglipron and Zepbound sell into, and Lilly is the comparator Viking already borrows for the same reason. GPCR has no product revenue of its own to read a ratio from. LLY's source: LLY FY2025 10-K, computed from the filed lines","a comparator, not a measurement; revisit when GPCR files a cost of sales"
GPCR,Aleniglipron,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GPCR,Aleniglipron,,US,base,sga_pct,,0.1702,,share of revenue,"comparator estimate: LLY's row, because aleniglipron is an oral small-molecule GLP-1 agonist for obesity, the market Lilly's orforglipron and Zepbound sell into, and Lilly is the comparator Viking already borrows for the same reason. GPCR has no product revenue of its own to read a ratio from. LLY's source: LLY FY2025 10-K, computed from the filed lines","a comparator, not a measurement; revisit when GPCR files a cost of sales"
GPCR,Aleniglipron,,US,base,tax_rate,,0.1637,,effective rate,"comparator estimate: LLY's row, because aleniglipron is an oral small-molecule GLP-1 agonist for obesity, the market Lilly's orforglipron and Zepbound sell into, and Lilly is the comparator Viking already borrows for the same reason. GPCR has no product revenue of its own to read a ratio from. LLY's source: aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed","a comparator, not a measurement; revisit when GPCR files a cost of sales"
