# Venglustat (SNY).
# Venglustat is Sanofi's oral, brain-penetrant glucosylceramide synthase inhibitor, wholly
# owned. One Phase 3 indication is live: type 3 Gaucher disease (GD3). LEAP2MONO
# (NCT05222906), a double-blind, double-dummy trial of once-daily venglustat against IV
# enzyme replacement in patients aged 12 and over on ERT for at least three years, met both
# neurological primary endpoints (mSARA and RBANS). The FDA accepted the NDA for priority
# review with a target action date of 2026-11-25; EU and Japan decisions are guided for 2027.
# Fabry is not modelled: PERIDOT (NCT05206773) and CARAT (NCT05280548) both missed their
# primary endpoints (Sanofi Q2 2026 results, 6-K 0001121404-26-000008); only the extensions continue.
# Modelled: the US GD3 pool at 300 patients, 73% aged 12 and over, priced at Cerezyme's
# 2025 Part B spend per beneficiary, captured at Cerdelga's measured Medicare switch rate
# and paced on Tarpeyo's launch curve, with ex-US at Cerdelga's ratio. Not modelled: the
# Cerezyme revenue a switch would take from Sanofi's own marketed line, which sny_cerezyme.csv
# carries on its filed sales, so part of this value is a transfer inside Sanofi.
#
# Written 2026-09-24 on claude/youthful-curie-bux19h. Verified 2026-09-26 against every cited
# source: the price moved to the 2025 CMS basis at the 2026-09-24 ECB rate, the penetration
# was re-measured with VPRIV in the pool and 2025 added, prevalence re-sourced to pages that
# state it, and eligible_pct and incidence added so the pool identity runs.
# Company-level rows copied from sny_aldurazyme.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
SNY,Venglustat,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.41 raw)",
SNY,Venglustat,,US,base,cogs_pct,,0.279316,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Venglustat,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SNY,Venglustat,,US,base,debt_weight,,0.188414,,,"filed TotalDebt of 18,702mm EUR at 2025-12-31 over debt plus market capitalisation",
SNY,Venglustat,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
SNY,Venglustat,,US,base,other_costs_pct,,0.13876,,share of revenue,"derived: SNY turned 16.69% of revenue into free cash over 2023 to 2025 against the 25.5% its filed expense lines leave. Restated before interest: SNY paid 1,631mm EUR of interest inside operating cash flow over 2023 to 2025, 1.33% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 10.45% to 9.12%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Left out: 350mm USD of legal settlement in 2025, printed only in USD, rather than converted. Restated without working capital build: over 2023 to 2025 SNY's cash flow statement shows receivables up 1,702mm EUR, inventories up 1,382mm EUR, payables up 1,445mm EUR, a working capital build of 1,639mm EUR, 1.34% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 9.12% to 7.53%. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them. Rebuilt on the book's own ratios on 0.3485 of the revenue they are struck on, against 0.2098 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is 13.8760%.","amortisation, restructuring and capital spending, none of which the filed lines carry, restated onto total revenue from the net sales base"
SNY,Venglustat,,US,base,rd_pct,,0.167907,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Venglustat,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SNY,Venglustat,,US,base,sga_pct,,0.204234,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Venglustat,,US,base,tax_rate,,0.1566,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as net income plus the tax charge, this filer not tagging pre-tax income",
