# Carvykti (JNJ). 1,887mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
JNJ,Carvykti,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
JNJ,Carvykti,,US,base,base_revenue,,1887.0,,mm USD,"JNJ FY2025 reported product revenue, from the annual report product axis (sec_fsds)",the anchor
JNJ,Carvykti,,US,base,revenue_growth_pct,,0.959502,,"annual, near term","JNJ FY2025 product axis (sec_fsds): $1,887mm in FY2025 against $963mm in FY2024","the quarter against the same quarter a year before, which is the most recent comparison this filer states"
JNJ,Carvykti,,US,base,revenue_ceiling_musd,,4000,,mm USD,"36,110 new US multiple myeloma diagnoses a year (American Cancer Society). Roughly a third reach the lines of therapy a cell therapy is given in and are fit for apheresis, about 10,800, and Carvykti cost Medicare $506,657 a beneficiary on Part B in 2024. Two fifths of that group at that price is $2.2bn in the US and about $4bn worldwide","the two fifths is the analyst input. Carvykti is one of two approved BCMA cell therapies and has been supply-constrained since launch, so the ceiling is a manufacturing limit as much as a commercial one"
JNJ,Carvykti,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
JNJ,Carvykti,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
JNJ,Carvykti,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
JNJ,Carvykti,,US,base,forecast_years,,14,,years,set to run past the 2034 loss of exclusivity,
JNJ,Carvykti,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
JNJ,Carvykti,,US,base,cogs_pct,,0.3212,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Carvykti,,US,base,sga_pct,,0.2514,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Carvykti,,US,base,rd_pct,,0.1557,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Carvykti,,US,base,other_costs_pct,,0.021102,,share of revenue,derived: JNJ turned 21.57% of revenue into free cash over 2023 to 2025 against the 23.4% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
JNJ,Carvykti,,US,base,tax_rate,,0.1395,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
JNJ,Carvykti,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
JNJ,Carvykti,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
JNJ,Carvykti,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.20 raw)",
JNJ,Carvykti,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
JNJ,Carvykti,,US,base,debt_weight,,0.068326,,,"filed TotalDebt of 49,036mm USD at 2026-06-28 over debt plus market capitalisation",
