# Abecma (BMY). 427mm USD in FY2025, +5.2% on FY2024.
#
# Marketed, anchored on the reported year and grown against the year before it:
# 427 in FY2025 from the SEC financial statement data sets, against 406 in FY2024 from the same source.
#
# The company ratios and the discount rate below are BMY's own, taken from
# bmy_abecma.csv so every product of this company runs on one basis.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BMY,Abecma,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
BMY,Abecma,,US,base,base_revenue,,427.0,,mm USD,"BMY FY2025 reported product revenue, from the SEC financial statement data sets",the anchor
BMY,Abecma,,US,base,revenue_growth_pct,,0.051724,,"annual, near term","427 in FY2025 from the SEC financial statement data sets, against 406 in FY2024 from the same source",the last reported year over the one before it
BMY,Abecma,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
BMY,Abecma,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
BMY,Abecma,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
BMY,Abecma,,US,base,forecast_years,,10,,years,"convention, and the horizon every marketed asset carries","the expiry on file, 2033, is applied by the engine over the top of it"
BMY,Abecma,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
BMY,Abecma,,US,base,cogs_pct,,0.2892,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,sga_pct,,0.1508,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,rd_pct,,0.2065,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,other_costs_pct,,0.024612,,share of revenue,"derived: Bristol Myers generated $39,438mm of free cash flow on $141,500mm of revenue over 2023, 2024 and 2025, a 27.87% margin, against the 30.0% its cost of sales, SG&A and R&D leave. The smallest of these adjustments by some way: the filed lines nearly reconcile already, and the five-year aggregate of 28.5% says the window is not doing the work","amortisation of acquired intangibles, restructuring and capital spending. Small here because Bristol Myers charges most of what it spends through the three lines the data sets tag"
BMY,Abecma,,US,base,tax_rate,,0.1526,,effective rate,"aggregate effective rate over the 4 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,beta,,0.51,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.26 raw)","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","BMY's own, as every BMY asset carries"
BMY,Abecma,,US,base,debt_weight,,0.239716,,,"filed TotalDebt of $43,120mm over debt plus market capitalisation: 2,042.7mm shares at 2026-07-22 at the $66.95 close of 2026-08-27","BMY's own, as every BMY asset carries"
