# Biological NTLA-2002 (NTLA).
# NTLA-2002 is lonvoguran ziclumeran (lonvo-z), Intellia's in vivo CRISPR/Cas9 edit of KLKB1 in the liver, delivered by lipid nanoparticle as a single 50 mg outpatient IV infusion to prevent hereditary angioedema (HAE) attacks. The pivotal trial is HAELO (NCT06634420): a randomised 2:1, double-blind, placebo-controlled Phase 3 in 80 patients aged 16 and over with C1-inhibitor-deficient (type 1 or 2) HAE. At weeks 5 to 28, the monthly attack rate was 0.26 on lonvo-z against 2.10 on placebo, 87% lower (NEJM 2026, doi:10.1056/NEJMoa2600931). The BLA has Priority Review with a PDUFA date of 2027-03-10 (8-K 0001193125-26-385194). Price anchor: Casgevy, the only marketed CRISPR/Cas9 therapy, at its $2.2mm one-time list price as the book carries it. That is about 3.1 years of the more than $700,000 a year that Intellia says long-term prophylaxis costs, the basis payers use to price one-time therapies. The discount is Zolgensma's measured CMS reimbursement against list. Uptake anchor: Orladeyo, the last novel prophylaxis to launch in HAE, whose FY2025 US revenue implies about 18.7% of the US treated-HAE population on therapy in its fifth year. Lonvo-z is set to reach the same share of its eligible pool by year five. Intellia keeps all of it: the 10-Q calls lonvo-z wholly owned. Regeneron's 25% share covers nex-z (ATTR), not this asset. A low- to mid-single-digit royalty to Caribou is not netted.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NTLA,Biological NTLA-2002,,US,base,beta,,1.74,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (2.11 raw)",
NTLA,Biological NTLA-2002,,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's liver-directed genetic medicine company with its own filed FY2025 lines, delivering by lipid nanoparticle as lonvo-z does, and selling to a rare-disease specialist audience. NTLA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when NTLA files a cost of sales"
NTLA,Biological NTLA-2002,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NTLA,Biological NTLA-2002,,US,base,debt_weight,,0.041603,,,"Intellia's 8-K of 2026-09-04 (0001193125-26-383645, exhibit 99.1): a $400mm senior secured term loan facility with OrbiMed, of which an initial $75mm was funded at closing and the rest is at Intellia's option on milestones, $75mm over debt plus market capitalisation: 140.1mm shares at the $12.33 close of 2026-09-23",a reading of the balance sheet
NTLA,Biological NTLA-2002,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
NTLA,Biological NTLA-2002,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's liver-directed genetic medicine company with its own filed FY2025 lines, delivering by lipid nanoparticle as lonvo-z does, and selling to a rare-disease specialist audience. NTLA has no product revenue of its own to read a ratio from. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when NTLA files a cost of sales"
NTLA,Biological NTLA-2002,,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's liver-directed genetic medicine company with its own filed FY2025 lines, delivering by lipid nanoparticle as lonvo-z does, and selling to a rare-disease specialist audience. NTLA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when NTLA files a cost of sales"
NTLA,Biological NTLA-2002,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NTLA,Biological NTLA-2002,,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's liver-directed genetic medicine company with its own filed FY2025 lines, delivering by lipid nanoparticle as lonvo-z does, and selling to a rare-disease specialist audience. NTLA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when NTLA files a cost of sales"
NTLA,Biological NTLA-2002,,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's liver-directed genetic medicine company with its own filed FY2025 lines, delivering by lipid nanoparticle as lonvo-z does, and selling to a rare-disease specialist audience. NTLA has no product revenue of its own to read a ratio from. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when NTLA files a cost of sales"
