# Elenestinib (SNY): BLU-263, an oral next-generation KIT D816V inhibitor designed for minimal central nervous system
# penetration, discovered by Blueprint Medicines and owned outright by Sanofi since the Blueprint acquisition closed on
# 2025-07-18. Sanofi's FY2025 20-F calls it a next-generation medicine for systemic mastocytosis expected to be a successor
# to avapritinib. One trial: HARBOR (NCT04910685), Phase 2/3, placebo-controlled on top of symptom-directed therapy in
# indolent SM, recruiting, n=534, estimated primary completion 2032-09-30 (a date that covers the 5-year Part 3). Part 2,
# the registration part, reads the ISM-SAF total symptom score at week 49; Part S enrols smoldering SM and Part K patients
# already treated with a selective KIT inhibitor. Sanofi's December 2025 pipeline review puts data in 2027 or later.
#
# Modelled: US indolent and smoldering SM (the non-advanced 90% of SM), priced and ramped on Ayvakit (avapritinib), the
# same-target product Sanofi already sells in the same patients, with ex-US as Ayvakit's filed ratio. Not modelled:
# advanced SM (HARBOR excludes it), any Ayvakit patients switched to elenestinib, and any erosion from generic avapritinib.
#
# Substitution, not addition. The book carries Ayvakit inside Sanofi's Launches company line at its H1 2026 run rate, held
# flat with no exclusivity (data/company_lines/sny.csv). That line already holds about 1,809 US patient-years of treated
# SM, so this seed takes them out of the eligible pool before elenestinib draws on it: the two products never count the
# same patient twice. The value left is elenestinib's reach into the untreated pool, which is where a successor's worth
# sits once the book holds the incumbent's patients.
#
# Researched 2026-09-25 from the sources named on each row. Company-level rows copied from sny_aldurazyme.csv.
# Verified 2026-09-26, every load-bearing source reopened; every number stands. Corrections then, to source text only: the
# out-of-sample check on the uptake row compared the path's ISM-only stock with Sanofi's all-indication US figure, and is
# now made on Medicare claims; the CStone scope on the economics row now reads as the 10-K words it. Left as the book does
# for its other chronic seeds: carryover 1.0, under which the untreated pool has no exit and grows past the stated
# prevalence over the horizon (about 46,000 eligible untreated by 2046).
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
SNY,Elenestinib,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.41 raw)",
SNY,Elenestinib,,US,base,cogs_pct,,0.279316,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Elenestinib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SNY,Elenestinib,,US,base,debt_weight,,0.188414,,,"filed TotalDebt of 18,702mm EUR at 2025-12-31 over debt plus market capitalisation",
SNY,Elenestinib,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
SNY,Elenestinib,,US,base,other_costs_pct,,0.13876,,share of revenue,"derived: SNY turned 16.69% of revenue into free cash over 2023 to 2025 against the 25.5% its filed expense lines leave. Restated before interest: SNY paid 1,631mm EUR of interest inside operating cash flow over 2023 to 2025, 1.33% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 10.45% to 9.12%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Left out: 350mm USD of legal settlement in 2025, printed only in USD, rather than converted. Restated without working capital build: over 2023 to 2025 SNY's cash flow statement shows receivables up 1,702mm EUR, inventories up 1,382mm EUR, payables up 1,445mm EUR, a working capital build of 1,639mm EUR, 1.34% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 9.12% to 7.53%. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them. Rebuilt on the book's own ratios on 0.3485 of the revenue they are struck on, against 0.2098 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is 13.8760%.","amortisation, restructuring and capital spending, none of which the filed lines carry, restated onto total revenue from the net sales base"
SNY,Elenestinib,,US,base,rd_pct,,0.167907,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Elenestinib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SNY,Elenestinib,,US,base,sga_pct,,0.204234,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Elenestinib,,US,base,tax_rate,,0.1566,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as net income plus the tax charge, this filer not tagging pre-tax income",
SNY,Elenestinib,,US,base,therapy_mode,,,chronic,,"HARBOR (clinicaltrials.gov/api/v2/studies/NCT04910685): elenestinib is taken orally once daily, for about 48 weeks in Part 2 and then for up to about 5 years in the open-label Part 3. Ayvakit, the same-target incumbent, is labelled for ISM at 25 mg once daily with no fixed stop (openFDA label set 645c887c-8cd4-4623-8da9-ac223d71a8b9, effective 2026-08-05)",a daily oral taken for as long as it controls symptoms
SNY,Elenestinib,,US,base,list_price_per_patient,,0.4585165,,mm EUR per patient-year,"Ayvakit (avapritinib) WAC, Information for Prescribers Provided Pursuant to Colorado HB 19-1131 and Connecticut HB 6669, AnalySource 01/19/2026 (blueprintmedicines.com/wp-content/uploads/2026/02/AYVAKIT-CO-CT-Pricing-Transparency-January-2026.pdf): $42,838.00 per bottle of 30 for every strength. The ISM dose is one 25 mg tablet a day (openFDA label 645c887c, section 2.4) and the 25 mg NDC 72064-125-30 is a 30-tablet bottle (openFDA NDC), so a bottle is 30 days: 42,838 x 365/30 = $521,195.67 a year. In EUR because the engine models a company in its reporting currency: $521,195.67 at EUR/USD 1.1367 (ECB via fetchers/fx_ecb.py, 2026-09-24, fx_rates) is EUR 458,516.5","Judgement on the comparator: Ayvakit is the only approved KIT D816V inhibitor for ISM, the product elenestinib is designed to succeed, same company, same prescribers, same payer channel (Part D and commercial specialty pharmacy), so a successor launches at or near its price. The WAC path is measured: $38,929 in January 2024 (Connecticut prescriber notice), $40,837 in January 2025 (ayvakit.com patient support page), $42,838 in January 2026, about 5% a year. The case for lower: generic avapritinib could arrive after the US compound patent (October 2034 per Sanofi FY2025 20-F) and pull the class price down. Cross-check against the CMS route: Part D 2025 spend per claim was $41,575.46 (6,034 claims, $250,866,345.29; quarterly file 4ff7c618, row 2025 (Q1-Q4)), within 2% of the 2025 WAC, so the list price is what Part D pays per fill. The house 0.5 on spend per beneficiary ($323,698.51 x 0.5 = $161,849) is not used: a launch still adding patients carries part-year beneficiaries (7.79 fills each in 2025), and the brief puts a published list price ahead of that basis"
SNY,Elenestinib,,US,base,gross_to_net_pct,,0.2234,,share off list,"Ayvakit's own discount, measured in two steps. First, Blueprint's FY2024 10-K (0001558370-25-000953, Note 6): provisions related to current-period sales of $80,847k against US net product revenue of $421,837k, so 80,847 / (421,837 + 80,847) = 16.08% off gross (17.00% in 2023 on $37,281k and $181,971k). Second, Sanofi's Q2 2026 release (6-K 0001121404-26-000008): higher US government rebates since Blueprint became part of Sanofi cost c.9 points of growth on Q2 2025's $175.1mm, $15.76mm, against Q2 2026 US sales of EUR 168mm, $195.68mm at the release's own pro forma rate of 221.3/190 = 1.1647. Without the extra rebates US net would be 195.68 + 15.76 = $211.43mm, a gross of 211.43 / (1 - 0.1608) = $251.96mm, so the discount now is 1 - 195.68/251.96 = 22.34%","Direction checked: 22.34% is taken OFF list, so net is 77.66% of list, EUR 356,084 ($404,761) a patient-year. The 16.08% attributes every provision to US sales, which overstates the pre-Sanofi US rate slightly (14.44% if spread over worldwide sales). Sanofi says the extra rebates continue, which is why the current rate is used rather than Blueprint's. The case for higher: Medicare Part D redesign and a crowded class by 2034 could deepen rebates further"
SNY,Elenestinib,,US,base,discontinuation_pct,,0.1662,,share of the stock per year,"CDA-AMC reimbursement recommendation PC0416, Avapritinib (Ayvakyt) in ISM, 2026 (canjhealthtechnol.ca/index.php/cjht/article/view/PC0416): the manufacturer's model assumes patients receive avapritinib for 5.5 years, from modelling that draws on US real-world data to simulate individual patient trajectories and extrapolate time on treatment. Read as the mean of a constant stopping hazard: 1 - exp(-1/5.5) = 16.62% stop a year","The incumbent's measured persistence stands in because elenestinib has no persistence data outside HARBOR. Read as a median instead, 1 - 0.5^(1/5.5) = 11.84%. The case for lower: pERC noted clinicians expect patients to stay on avapritinib indefinitely while it works, and PIONEER reports a 3% stop for treatment-related adverse events over a median of more than three years (Blueprint release 2025-12-05; Akin et al., J Allergy Clin Immunol 2026, doi 10.1016/j.jaci.2026.04.001). The case for higher: a real-world population is less selected than a trial's"
