# ABBV-706: AbbVie's SEZ6-directed ADC with a topoisomerase-1 inhibitor payload, wholly AbbVie's.
# Built on relapsed small cell lung cancer after platinum and tarlatamab, the population of its one phase 3, whose
# September 2030 completion dates a 2032 start; priced off Trodelvy and turned over at its own phase 1 progression-free survival.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,ABBV-706,,US,base,therapy_mode,,,chronic,,"Byers et al., Nat Med 2026 (doi:10.1038/s41591-026-04452-0), the phase 1 of ABBV-706: given intravenously every 3 weeks until disease progression, intolerable toxicity or other discontinuation criteria","an every-three-week infusion, not a single course"
ABBV,ABBV-706,,US,base,list_price_per_patient,,0.082521,,mm USD,"Trodelvy, CMS Medicare Part B 2024: $272,318,588 over 3,300 beneficiaries, $82,521 a beneficiary. Trodelvy is a topoisomerase-1 inhibitor ADC in solid tumours, the payload class ABBV-706 carries, and the comparator the sacituzumab tirumotecan and puxitatug seeds use","a comparator, not a price this product has. Imdelltra, the DLL3 engager these patients will have had first, has no Part B figure on file"
ABBV,ABBV-706,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it (the basis the sacituzumab tirumotecan seed uses)","an infused medicine bought and billed under Part B. Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high"
ABBV,ABBV-706,,US,base,discontinuation_pct,,0.7274,,share stopping a year,"Byers et al., Nat Med 2026 (doi:10.1038/s41591-026-04452-0): median progression-free survival of 6.4 months at 1.8 mg/kg, the recommended phase 2 dose, in relapsed or refractory SCLC (n = 41). At a constant hazard 0.5^(12/6.4) = 27.3% remain after a year, so 72.7% stop","median treatment duration at that dose was 6.2 months, which agrees. Those patients had a median of two prior lines and few had received tarlatamab, while the phase 3 enrols after it, so stopping may run faster"
ABBV,ABBV-706,,US,base,forecast_start_year,,2032,,year,"the only phase 3, NCT07365241 (ABBV-706 against topotecan, lurbinectedin or amrubicin after platinum and tarlatamab), has an estimated primary completion of September 2030; the book's pipeline seeds put the first full year two calendar years after it. AbbVie reports starting the trial in April 2026 (10-Qs 0001551152-26-000017 and 0001551152-26-000026)","no filing or PDUFA date is stated. The trial's response-rate endpoint is read at about 24 months, which could support an earlier accelerated filing that AbbVie has not stated"
ABBV,ABBV-706,,US,base,economics_share,,1,,share,"the FY2025 10-K (0001551152-26-000008) and both 2026 10-Qs name no collaboration, licence or royalty for ABBV-706, and describe it only as AbbVie initiating its phase 3",held as wholly AbbVie's; if an undisclosed royalty exists it is not charged
ABBV,ABBV-706,Small Cell Lung Carcinoma,US,base,prevalence,,226650,,patients,"226,650 new US lung cancers in 2025 (SEER), the base the volrustomig and sacituzumab tirumotecan seeds build their lung pools on","the annual diagnosed population; SEER's 2026 estimate is 229,410"
ABBV,ABBV-706,Small Cell Lung Carcinoma,US,base,incidence,,226650,,patients a year,lung cancer incidence is the pool: diagnosed and treated each year rather than accumulated,
ABBV,ABBV-706,Small Cell Lung Carcinoma,US,base,eligible_pct,,0.01121,,share of the pool,"three filters multiplied: SCLC was 11.8% of new US lung cancers in 2019 and 70.9% of SCLC was extensive-stage at diagnosis over 2000 to 2019 (Wells et al., JTO Clin Res Rep 2025, doi:10.1016/j.jtocrr.2025.100799, SEER 17); of 2,573 US patients with extensive-stage SCLC given first-line platinum, 13.4% went on to two further lines (Sankar et al., Adv Ther 2025, doi:10.1007/s12325-025-03408-z, Flatiron). 0.118 x 0.709 x 0.134 = 0.0112, about 2,540 patients a year","NCT07365241 enrols after platinum and tarlatamab, which with tarlatamab in second line is the third line Sankar counts. Sankar's base is treated patients, so applied to all extensive-stage diagnoses it is an upper bound; limited-stage patients who relapse and patients given tarlatamab in first line, who reach this trial one line earlier, are left out and push the other way. The trial also excludes prior topoisomerase-1 inhibitors such as topotecan, which no US share was found for and which is not taken off"
ABBV,ABBV-706,Small Cell Lung Carcinoma,US,base,exus_multiple,,1.1378,,x US,"Venclexta, AbbVie's own oncology medicine, booked in AbbVie's net revenues in both regions (it shares US profits with Genentech and pays royalties outside the US) and the only one with a settled split: FY2025 net revenues of $1,486mm International against $1,306mm United States (10-K 0001551152-26-000008, key product revenues table; asset_revenue_regions), a ratio of 1.138","Elahere, AbbVie's ADC in a solid tumour, is the nearer modality but its split is a launch and not a ratio: International went $2mm in FY2024, $83mm in FY2025 against $607mm in the US (0.137), and $50mm against $161mm in the second quarter of 2026 (0.31, 10-Q 0001551152-26-000026). Emrelis, the c-Met ADC, reports no International line at all"
