# Ralinepag (UTHR), oral prostacyclin receptor agonist in PAH, NDA under FDA review.
#
# Uptake is built from patients and solved to reach Uptravi's filed U.S. sales, the
# analogue it follows, since no named forecast has been published since its readout.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
UTHR,Ralinepag,,US,base,therapy_mode,,,chronic,,continuing oral therapy,
UTHR,Ralinepag,,US,base,forecast_start_year,,2028,,year,"the first full year after the action date: 'The FDA has set a Prescription Drug User Fee Act target action date of June 24, 2027' (release 2026-08-24)",
UTHR,Ralinepag,,US,base,forecast_years,,12,,years,long enough to run past the mid-2030s patent life and through the erosion tail,
UTHR,Ralinepag,,US,base,pos,,0.906,,probability,"filed: 'In June 2026, we submitted an NDA to the FDA seeking approval to market ralinepag extended-release tablets for PAH' (10-Q 0001082554-26-000027), accepted 2026-08-24, on ADVANCE OUTCOMES (clinical worsening hazard ratio 0.45, 95% CI 0.33 to 0.62; McLaughlin VV et al., Lancet 2026, DOI 10.1016/S0140-6736(26)01011-1). BIO/Informa/QLS, Clinical Development Success Rates 2011-2020, Figure 2: NDA/BLA to approval is 90.6% for all indications","all indications rather than a group: the report does not say whether pulmonary arterial hypertension sits in Cardiovascular (82.5%) or Respiratory (95.6%), and the two bracket this"
UTHR,Ralinepag,,US,base,list_price_per_patient,,0.210364,,mm USD per year,"comparator: Uptravi (selexipag), the oral prostacyclin receptor agonist ralinepag would compete with, cost Medicare Part D $908,772,074 over 4,320 beneficiaries in 2024, $210,364 each (CMS Medicare Part D spending by drug)",Part D spending is gross of manufacturer rebates
UTHR,Ralinepag,,US,base,gross_to_net_pct,,0.5,,share,analyst convention: manufacturer rebates in a Part D class; no net price for the class is published,"the revenue level is solved to a filed analogue below, so this sets the patient count behind it rather than the revenue"
UTHR,Ralinepag,,US,base,discontinuation_pct,,0.19,,share of the stock per year,"ADVANCE OUTCOMES: adverse events were the main reason for stopping treatment in 19% of patients on ralinepag against 3% on placebo (Lancet 2026, DOI 10.1016/S0140-6736(26)01011-1)","a trial-period share applied each year, so if anything it drops patients faster than the trial did"
UTHR,Ralinepag,,US,base,economics_share,,0.786735,,share,"royalty: Arena, now Pfizer, receives 'low double-digit, tiered royalties on net sales of any pharmaceutical product containing ralinepag as an active ingredient' (10-K 0001082554-26-000006); netted at the lowest tier, 10%, over United Therapeutics' pre-tax margin of 46.89%, as every royalty in the book is",10% is the bottom of 'low double-digit'
UTHR,Ralinepag,Pulmonary Arterial Hypertension,US,base,prevalence,,50000,,patients,"'PAH affects about 500,000 individuals worldwide, with around 50,000 people affected in the United States.' (8-K exhibit 99.1, 2026-03-02)",
UTHR,Ralinepag,Pulmonary Arterial Hypertension,US,base,incidence,,50000,,patients per year,"convention: no US PAH incidence is on file beside the prevalence, so the pool is stated equal to it and read as the patients eligible to start each year","peak uptake below is solved to a filed analogue, so the pool shapes the ramp rather than the level"
UTHR,Ralinepag,Pulmonary Arterial Hypertension,US,base,eligible_pct,,1.0,,share,the NDA seeks PAH without a narrower population,
