# Inaxaplin (VRTX): VX-147, Vertex's oral APOL1 inhibitor in the AMPLITUDE Phase 2/3 for APOL1-mediated kidney
# disease, seeded on the VX-147 record that carries the trial rather than the duplicate Inaxaplin record. The pool is
# Vertex's own US and Europe AMKD estimate, priced at Filspari, paced by Tarpeyo's CMS launch and set to Filspari's
# measured capture, with a 2028 launch dated from the early-2027 interim readout.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VRTX,VX-147,,US,base,therapy_mode,,,chronic,,"Egbuna O et al., N Engl J Med 2023;388:969-979 (doi:10.1056/NEJMoa2202396): inaxaplin tablets taken daily; AMPLITUDE (NCT05312879) doses oral tablets and runs to at least two years of eGFR data at its final analysis","a daily oral for a progressive genetic kidney disease, taken until it stops working"
VRTX,VX-147,,US,base,list_price_per_patient,,0.157276,,mm USD,"the price is Filspari's (sparsentan): CMS Medicare Quarterly Part D Spending by Drug, 2025 Q1-Q4, $61,544,557 over 4,761 claims is $12,926.81 a claim for a 30-tablet bottle, and 365/30 of those is $157,276 a year. Filspari is a daily oral for proteinuric glomerular disease, labelled in FSGS since 13 April 2026 (openFDA), and the closest comparator on file","a comparator, not a price this product has. Not in drug_demand because Travere is not in the universe. Per beneficiary 2025 is $93,249, which counts part-year patients; Jynarque, a daily oral for ADPKD, is $139,480 a beneficiary in 2025. Vertex prices its own genetic-disease orals far higher (Kalydeco WAC $378,786 a year, vrtx_prices.csv), so this leans low for a first-in-class precision medicine"
VRTX,VX-147,,US,base,gross_to_net_pct,,0.2777,,share off list,"Vertex's own derived gross-to-net for its specialty orals (vrtx_prices.csv): Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a floor on the discount, as that seed says. ICER takes a 25% discount for sibeprenlimab from IPD Analytics, close to it. On the CMS claim figure it gives a net price of $113,600"
VRTX,VX-147,,US,base,discontinuation_pct,,0.1253,,share stopping a year,"Rao V et al., Kidney360 2025;6(9):1522-1531 (doi:10.34067/KID.0000000816): 27% of 134 US adults on tolvaptan for ADPKD, a daily oral for a genetic kidney disease, stopped over an average follow-up of 28.2 months. At a constant hazard that is 1 - 0.73^(12/28.2) = 12.5% of the stock stopping each year","tolvaptan's stopping was driven by aquaretic side effects (10.4% of the cohort withdrew for them), and no adverse event led to discontinuation in inaxaplin's Phase 2a (Egbuna 2023), so tolerability should cost less here. Patients censored early mean the annual rate leans low on that count. The povetacicept seed takes 27.5% for a self-injected biologic"
VRTX,VX-147,,US,base,forecast_start_year,,2028,,year,"Vertex's Q2 2026 10-Q (0000875320-26-000259): Vertex expects to share data from the AMPLITUDE interim analysis in early 2027, conducted 'for potential U.S. accelerated approval' once the interim cohort has been treated for 48 weeks. A filing in 2027 and a review of eight months (priority, for which the FDA's Breakthrough Therapy Designation in FSGS qualifies it, 10-K 0000875320-26-000056) to twelve (standard, for a new molecular entity) put approval late in 2027 at the earliest and the first full year of revenue in 2028","povetacicept went from its interim readout to a completed BLA within the same month (8-K 0000875320-26-000147), but reviewed on a priority review voucher that no filing assigns to inaxaplin. The registry's primary completion of 2028-06-02 (NCT05312879) is the final eGFR analysis, not the interim"
VRTX,VX-147,,US,base,economics_share,,1.0,,share of the asset,"Vertex FY2025 10-K (0000875320-26-000056): 'Inaxaplin is our small molecule for the treatment of APOL1-mediated kidney disease', developed by Vertex from discovery (Egbuna 2023), and it appears in none of the in-licence agreements (CRISPR, Moderna, Entrada), out-licences (Zai, Ono) or contingent consideration (Exonics) the filing discloses","all of it, with no royalty or milestone disclosed"
VRTX,VX-147,,US,base,pos,,0.4,,probability,"pos_defaults.csv, Phase 2/3 row: 0.40, the midpoint of the Phase 2 and Phase 3 rows. Stated because asset 2904 has no asset_indications row, so the engine cannot read a phase for it","not argued up: no AMPLITUDE result has been reported. The Phase 2a cut proteinuria by 47.6% at week 13 in 13 adherent participants with APOL1-mediated FSGS (Egbuna 2023), which is the basis the Phase 2/3 was designed on"
VRTX,VX-147,"Glomerulosclerosis, Focal Segmental",US,base,prevalence,,94205,,patients,"Vertex FY2025 10-K (0000875320-26-000056): AMKD has 'an estimated patient population of approximately 150,000 people in the U.S. and Europe', with about 100,000 more who have comorbidities such as type 2 diabetes counted separately. No US-only figure was found, so 150,000 is divided by one plus the ex-US multiple below, 150,000 / 1.5923 = 94,205, and the engine's pool with the multiple reproduces Vertex's 150,000","the US and Europe split is not evidenced, and AMKD occurs in people of African ancestry, most of whom across the two regions live in the US. The split does not move revenue, because the engine prices ex-US patients at the US price. The indication is FSGS because the indications table has no APOL1 or AMKD row: APOL1-mediated FSGS is the Phase 2a population and the Breakthrough designation, and AMKD is the wider disease AMPLITUDE enrols"
VRTX,VX-147,"Glomerulosclerosis, Focal Segmental",US,base,incidence,,0,,patients a year,"no US incidence of AMKD was found in a filing or a published study, so the pool is closed: the engine needs a number, and zero adds no patients the evidence does not support","understates the pool. APOL1 genotype is fixed at birth, so the inflow is people with two variants developing proteinuric disease each year, and no source counts them"
VRTX,VX-147,"Glomerulosclerosis, Focal Segmental",US,base,eligible_pct,,1.0,,share of the pool,"Vertex's 150,000 is already the primary AMKD population AMPLITUDE enrols: two APOL1 variants and proteinuric kidney disease, excluding diabetes and other known causes of kidney disease (NCT05312879). The comorbid 100,000 are counted separately in the 10-K and studied in AMPLIFIED","an upper bound. AMPLITUDE enrols ages 10 to 65, and the label's proteinuria and eGFR bounds are not yet known; no evidenced share narrows it further"
