# Salanersen (BIIB): BIIB115, formerly ION306, an intrathecal antisense oligonucleotide that
# corrects SMN2 splicing, dosed 80 mg once a year. The same mechanism as Spinraza (nusinersen)
# but its own molecule and INN, with a new backbone chemistry. Biogen licensed it worldwide and
# exclusively from Ionis in December 2021 and pays tiered royalties. The BIIB115 code row is the
# same molecule; Ionis's Salanersen row carries the 2021 licence fee, not product sales.
#
# Trials: three recruiting Phase 3s. NCT07444476, ages 15 to 60 untreated or after risdiplam
# (n=90, primary completion 2028-06-23); NCT07221669 STELLAR-1, presymptomatic infants (n=30,
# 2028-11-28); NCT07444450 STELLAR-2, infants after onasemnogene abeparvovec (n=42, 2029-07-27).
# FDA Breakthrough Therapy designation in June 2026. Not approved anywhere.
#
# Modelled: US patients with SMA who are not on Spinraza, with an ex-US multiple, at Spinraza's
# price, the royalty netted at its lowest tier. Not modelled: Spinraza patients switching to
# salanersen. Biogen's filed Spinraza revenue already carries them, all three Phase 3s exclude
# prior nusinersen, and at a parity price a switch moves revenue between two Biogen lines. Not
# charged: milestones still owed to Ionis ($55mm on first approval, up to $400mm on sales).
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BIIB,Salanersen,,US,base,cogs_pct,,0.2431,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Salanersen,,US,base,sga_pct,,0.2461,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Salanersen,,US,base,rd_pct,,0.1798,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Salanersen,,US,base,other_costs_pct,,0.042975,,share of revenue,"derived: BIIB generated $6,043mm of free cash flow on $29,402mm of revenue over 2023, 2024 and 2025, a 20.55% margin, against the 28.0% its filed expense lines leave. Restated before interest: BIIB paid $762mm of interest inside operating cash flow over 2023 to 2025, 2.59% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 8.78% to 6.19%. Restated at replacement capex: BIIB spent $584mm on plant over 2023 to 2025 against $814mm of plant depreciation, 0.78% of revenue below what keeps the plant running. Taken at depreciation, the charge rises from 6.19% to 7.11%. Restated without one-off cash: BIIB's free cash flow over 2023 to 2025 carried $444mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $234mm of US transition tax (2025 instalment 234mm). None recurs, so the charge falls from 7.11% to 4.66%. Restated without working capital build: over 2023 to 2025 BIIB's cash flow statement shows receivables down $386mm, inventories up $469mm, payables and accrued liabilities down $6mm, a working capital build of $89mm, 0.30% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 4.66% to 4.30%.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
BIIB,Salanersen,,US,base,tax_rate,,0.1552,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
BIIB,Salanersen,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
BIIB,Salanersen,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
BIIB,Salanersen,,US,base,beta,,0.68,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.52 raw)",
BIIB,Salanersen,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
BIIB,Salanersen,,US,base,debt_weight,,0.161284,,,"filed TotalDebt of $6,288mm over debt plus market capitalisation: 147.6mm shares at 2026-04-27 at the $221.50 close of 2026-08-27",
BIIB,Salanersen,,US,base,therapy_mode,,,chronic,,"an intrathecal injection repeated once a year for life, 80 mg in all three Phase 3s (NCT07444476, NCT07221669, NCT07444450), so revenue is the treated stock at an annual price",
BIIB,Salanersen,,US,base,list_price_per_patient,,0.448916,,mm USD per year,"Spinraza (nusinersen), the closest comparator: the same SMN2-splicing antisense mechanism, the same intrathecal route and the same company, and salanersen is its once-yearly successor. ICER, Therapies for Spinal Muscular Atrophy: Effectiveness and Value, Final Report, 2 September 2025 (icer.org/wp-content/uploads/2025/08/ICER_SMA_Final-Report_For-Publication_090225-1.pdf), Table 4.5: nusinersen $448,916 a year, which ICER calculated from the CMS outpatient APC payment of $1,246.99 per 0.1 mg for a 12 mg dose every four months, including the 6% Part B add-on. Spinraza has no row in the CMS Part B quarterly file bf6a5b3b-31ee-4abb-b1ad-2607a1e7510a (searched by brand, generic and HCPCS J2326, none) nor in drug_demand for Part B, so no spend per beneficiary exists for it. Cross-checks: the same ICER table gives Evrysdi (risdiplam) a WAC of $409,445 a year; Evrysdi's CMS Part D 2025 spend per beneficiary is $332,072.80 ($183,968,331.76 over 554, quarterly file 4ff7c618-4e40-483a-b390-c8a58c94fa15)","a comparator price: salanersen has none. Biogen's realised US revenue per treated patient is about half this basis: Spinraza US FY2025 $625.5mm (BIIB 10-K 0000875045-26-000013) over 30.8% of 9,250 patients (2,849) is $219,551, and Evrysdi US CHF 612mm at the ECB 1.208099 over 37.5% of 9,250 (3,469) is $213,148. Medicaid rebates sit outside ASP and SMA is largely paediatric, which would explain it. That is why the peak penetration below is solved to a revenue figure and not a patient count"
BIIB,Salanersen,,US,base,gross_to_net_pct,,0.056604,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, 5.66% below it. The convention for a Part B comparator, as rog_nxt007.csv carries it",
