# Ohtuvayre (MRK). Ensifentrine, the inhaled PDE3 and PDE4 inhibitor for COPD maintenance, launched by Verona in August 2024 and owned by Merck since October 2025.
# A launch still climbing, anchored on a 2026 run rate of 743mm and carried to the 4,755mm Verona's own management projected for 2032 in the proxy for Merck's bid; the growth rate is solved to reach it and fades as it arrives.
# US exclusivity: Merck's FY2025 10-K puts the key US patent, an ensifentrine polymorph patent, at 2035 with a pending extension, four years after the 2031 drug substance date on file that erodes this line here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Ohtuvayre,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as its own revenue line,no patient funnel is rebuilt for a product that files its own sales
MRK,Ohtuvayre,,US,base,base_revenue,,743.0,,mm USD,"a 2026 run rate, not a reported year: the first half of 2026 as reported, $335mm ($131mm in Q1 and $204mm in Q2), and the second half at the second quarter's pace, $204mm twice. Merck's second-quarter 2026 results, 8-K exhibit 99.1 Table 3 (0001104659-26-090045, filed 2026-08-04). Merck's FY2025 figure of $178mm covers only the months after the October 2025 close (10-K 0000310158-26-000063), so it is not a full year","generous for once, and the filing says so: Merck's Q2 2026 10-Q (0000310158-26-000212) states that second-quarter sales carry a benefit from the timing of specialty pharmacy purchases in the US, expected to unwind in the third quarter of 2026. The size is not disclosed. The anchor moves the path to the peak, not the peak itself, which is set below"
MRK,Ohtuvayre,,US,base,revenue_growth_pct,,0.64265,,"annual, near term","solved, not observed: the rate that carries the 743mm run rate to the 4,755mm peak by 2032, fading to nought as it arrives","the solved path runs 1,220mm in 2027, 1,874mm in 2028, 2,677mm in 2029, 3,537mm in 2030 and 4,295mm in 2031, against Verona management's 1,284mm, 2,046mm, 2,655mm, 3,471mm and 4,057mm for the same years, so the rate reproduces the filed ramp and not only its end point"
MRK,Ohtuvayre,,US,base,revenue_ceiling_musd,,4755,,mm USD,"Verona Pharma management's unaudited prospective financial information, the peak year of net revenue: $4,755mm in 2032, falling to $3,894mm in 2033 and $2,146mm by 2036. Verona definitive proxy for the Merck transaction, DEFM14A 0001104659-25-079472 (filed 2025-08-18), Certain Unaudited Prospective Financial Information. Merck itself names no figure: on the acquisition call (DFAN14A 0001193125-25-157147, 2025-07-09) it calls Ohtuvayre a multibillion-dollar therapy into the mid-2030s","the one filed peak, and an upper bound for this line. The projection is the whole of Verona, risk-adjusted: Ohtuvayre in COPD at 100%, the ensifentrine and glycopyrrolate combination at 75%, bronchiectasis at 25% and ex-US licensing income at 90%. Merck reports Ohtuvayre as one line and has not said where a combination would be booked. The engine floors the ceiling at the latest run rate"
MRK,Ohtuvayre,,US,base,growth_fade_years,,6,,years,"the ramp's own length: growth fades to nought in 2033, the year after the 2032 peak, as Kisunla's and Foundayo's do",
MRK,Ohtuvayre,,US,base,forecast_start_year,,2027,,year,the year after the 2026 run rate the anchor is taken from,2026 is left out of the valuation rather than filled with an estimate of its second half
MRK,Ohtuvayre,,US,base,forecast_years,,15,,years,"long enough to carry the ramp and run six years past Merck's stated 2035 US patent expiry, which also clears the 2031 date on file","Merck's FY2025 10-K patent table (0000310158-26-000063) gives Ohtuvayre a US expiry of 2035 with a pending patent term extension, on an ensifentrine polymorph patent, and no EU, Japan or China date because Merck has no approval or rights there. Verona's FY2024 10-K (0001657312-25-000010) says the composition of matter patents expired in 2020, the other issued patents expire in 2031 and 2035, and pending applications would run to 2043-2045. Merck amortises the Ohtuvayre intangible over nine years from October 2025 (10-K Note 3), which also points to the mid-2030s. The LOE on file is 2031, from Orange Book drug substance patent 9,062,047, so the engine erodes from 2032 rather than from 2036: on the dry run that takes the value from $7,031mm to $3,842mm"
MRK,Ohtuvayre,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
MRK,Ohtuvayre,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies. The Phase 2 on file is the combination and bronchiectasis work, not this product"
MRK,Ohtuvayre,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Ohtuvayre,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Ohtuvayre,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
