# Ozempic (NVO). 127,089mm DKK in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVO,Ozempic,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
NVO,Ozempic,,US,base,base_revenue,,127089.0,,mm DKK,"NVO FY2025 reported product revenue, from the annual report product axis (sec_fsds)","Novo reports in Danish kroner. The figure is as filed, not converted."
NVO,Ozempic,,US,base,revenue_growth_pct,,-0.076047,,"annual, near term","Novo Nordisk H1 2026 financial report (6-K 0000353278-26-000023, filed 2026-08-04): Ozempic adjusted sales of 59,200mm in H1 2026 and 31,375mm in Q2 (59,200mm for the half and 31,375mm in Q2), all in DKK. Novo guides 2026 adjusted sales growth of 0% to -6% at CER and about 1 point lower in kroner. At the midpoint, -4% in kroner on 2025 adjusted sales of 306,464mm (309,064mm reported less the DKK 2.6bn 340B rebate reversal in Q2 2025), the company's second half is 145,654mm after 148,551mm in the first, 7.2% below its Q2 adjusted sales of 78,488mm doubled. Ozempic's second half is taken at its own Q2 doubled, less the same 7.2%: 58,224mm, for a year of 117,424mm against 127,089mm in 2025, -7.60%.","Guidance does not split by product, so the company's second-half step is applied to each product alike; Novo expects US Operations to decline and International Operations to grow. Adjusted figures exclude the one-off 340B reversals. The US list price cuts to USD 675 from 1 January 2027 are not modelled: list price is not net price, and Novo gives no net figure."
NVO,Ozempic,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
NVO,Ozempic,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
NVO,Ozempic,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
NVO,Ozempic,,US,base,forecast_years,,19,,years,set to run past the 2039 loss of exclusivity,
NVO,Ozempic,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
NVO,Ozempic,,US,base,cogs_pct,,0.1902,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Ozempic,,US,base,sga_pct,,0.227393,,share of revenue,"NVO FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, 5,969mm DKK for FY2025, leaves out the 64,310mm DKK of selling or distribution costs NVO reports as a line of its own, tagged under its own concept SellingExpenseAndDistributionCosts (20-F 0000353278-26-000012, SEC financial statement data sets), so SG&A rises from 1.93% to 22.74% of revenue.",
NVO,Ozempic,,US,base,rd_pct,,0.1684,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Ozempic,,US,base,other_costs_pct,,-0.021125,,share of revenue,"derived: NVO turned 25.95% of revenue into free cash over 2023 to 2025 against the 49.5% its filed expense lines leave. Restated before interest: NVO paid 4,522mm DKK of interest inside operating cash flow over 2023 to 2025, 0.54% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 29.59% to 29.04%. Restated at replacement capex: NVO spent 133,110mm DKK on plant over 2023 to 2025 against 19,625mm DKK of plant depreciation, 13.64% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 29.04% to 11.89%. Restated with selling costs: SG&A now carries NVO's filed selling or distribution costs, 20.81% of revenue this charge was absorbing, so it falls from 11.89% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 41.40% pre-tax margin where the cash over 2023 to 2025 supports 50.32%, so the charge rebuilds at -8.92%. It was held at nil, but NVO books 6,529mm DKK of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000353278-26-000012), 2.11% of revenue, so the charge stops at that floor: -2.11%. Restated without working capital build: over 2023 to 2025 NVO's cash flow statement shows receivables up 20,296mm DKK, inventories up 25,235mm DKK, payables up 15,158mm DKK, a working capital build of 30,373mm DKK, 3.65% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at the amortisation floor, -2.11% where the filed figures rebuild it at -8.92%, and stays there.","amortisation, restructuring and capital spending, none of which the filed lines carry"
NVO,Ozempic,,US,base,tax_rate,,0.2044,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
NVO,Ozempic,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Ozempic,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
NVO,Ozempic,,US,base,beta,,0.85,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.78 raw)",
NVO,Ozempic,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Ozempic,,US,base,debt_weight,,0.015446,,,"filed TotalDebt of 130,958mm DKK at 2025-12-31 over debt plus market capitalisation",
