# Patritumab deruxtecan (HER3-DXd, MK-1022): the HER3 DXd ADC Merck shares equally with Daiichi Sankyo.
# Its US lung application was withdrawn in May 2025, so it is built on HR-positive HER2-negative breast
# cancer alone, launching after its one phase 3 on file completes in 2033.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Patritumab Deruxtecan,,US,base,therapy_mode,,,chronic,,NCT07060807 gives patritumab deruxtecan every three weeks for about 13 months,continuing therapy with a fixed ceiling
MRK,Patritumab Deruxtecan,,US,base,list_price_per_patient,,0.06914,,mm USD,"Enhertu, CMS Medicare Part B 2024: $581,465,185 over 8,410 beneficiaries, $69,140 a beneficiary. Enhertu is Daiichi Sankyo's DXd ADC on the same linker and payload, and the closest comparator on file","a comparator, not a price this product has. Spending over beneficiaries counts patients treated for part of the year, so it sits below a full year of therapy"
MRK,Patritumab Deruxtecan,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it","Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high. The 50% the AZN seeds take is a retail Part D convention and does not fit a drug bought and billed under Part B; Merck's Keytruda seed takes no haircut at all"
MRK,Patritumab Deruxtecan,,US,base,discontinuation_pct,,0.6525,,share stopping a year,"no median is published for HER3-DXd in this setting. DESTINY-Breast06 (Bardia et al., N Engl J Med 2024, doi:10.1056/NEJMoa2407086), Daiichi Sankyo's DXd ADC in chemotherapy-naive HR-positive disease after endocrine therapy, reports 13.2 months. At a constant hazard 0.5^(12/13.2) = 53.3% remain after a year and none by the second, since NCT07060807 stops at about 13 months, so the stock turns over as though 1 / (1 + 0.533) = 65.3% stopped each year",Enhertu in the same line stands in for this molecule
MRK,Patritumab Deruxtecan,,US,base,forecast_start_year,,2034,,year,"the only phase 3 trial on file for this asset, NCT07060807, has a primary completion of July 2033; plus the time to file and launch. It matches the HERTHENA-Breast04 phase 3 Merck reported starting in HR-positive HER2-negative breast cancer after endocrine therapy (8-K exhibit 99.1 of 30 October 2025, 0001104659-25-103974)","the US application in EGFR-mutated NSCLC was voluntarily withdrawn in May 2025 after the confirmatory HERTHENA-Lung02 trial missed statistical significance on overall survival (Merck 10-Q for Q2 2025, 0000310158-25-000014), and the FY2025 10-K lists breast as the only phase 3. Lung is not modelled and nothing launches before the breast readout"
MRK,Patritumab Deruxtecan,,US,base,economics_share,,0.5,,share,"Merck FY2025 10-K (0000310158-26-000063), Note 4, Daiichi Sankyo: the companies share research and development costs equally, Daiichi Sankyo records sales worldwide, and the companies equally share expenses as well as profits worldwide except Japan, where Daiichi Sankyo keeps exclusive rights and Merck receives a 5% sales-based royalty","Merck also owes up to $5.5bn of sales-based milestones for each DXd ADC, which this share does not charge. Japan sits inside the ex-US multiple at half rather than a 5% royalty"
MRK,Patritumab Deruxtecan,Breast Neoplasms,US,base,prevalence,,160000,,patients,"roughly 160,000 US women live with metastatic HR-positive HER2-negative breast cancer, the pool the camizestrant and Truqap seeds use",the population a chemotherapy line is drawn from
MRK,Patritumab Deruxtecan,Breast Neoplasms,US,base,incidence,,65000,,patients a year,"about 310,000 new US breast cancers a year, roughly 70% HR-positive HER2-negative, of which about 30% become metastatic: the camizestrant seed's inflow",the inflow into the same pool
MRK,Patritumab Deruxtecan,Breast Neoplasms,US,base,eligible_pct,,0.3,,share of the pool,"the complement of the camizestrant seed's 70% on endocrine-based therapy in the advanced setting: the 30% who have moved on to chemotherapy or an ADC, the same share the sac-TMT seed takes for this pool","NCT07060807 enrols only after first-line CDK4/6 inhibitor and endocrine therapy, a narrower slice than every chemotherapy line, so this leans high"
MRK,Patritumab Deruxtecan,Breast Neoplasms,US,base,exus_multiple,,0.6804,,x US,"Keytruda, Merck's own infused oncology medicine and its closest marketed analogue: FY2025 sales outside the US of $12,812mm against $18,829mm in the US (asset_revenue_regions, SEC financial statement data sets), a ratio of 0.680","includes Japan, which is Daiichi Sankyo's alone"
