# Loss-of-exclusivity dates outside the US, as each filer states them in its own FY2025
# annual report (10-K or 20-F), one row per product per market.
#
# The US date comes from the Orange and Purple Books and the filer's US table
# (disclosed_loe.csv). Outside the US there is no book, and the filer's patent table is
# the only free statement of when a market opens: Merck prints Keytruda's EU, Japan and
# China dates beside the US one, BMS its estimated minimum market exclusivity by
# region. regional_loe.py applies each date to the share of the product's sales the
# filer reports in that region.
#
# Read off the filing, never estimated. Every row carries the accession and a verbatim
# quote (table cells joined by " | ", separate passages by " ... "), checked word for
# word against the filed document. region is EU (Europe, major European markets), JP,
# CN, CA, BR, IN, or ROW where the filer names a group. loe is as precise as the filing:
# a year, a month, or a day; "expired" where it says exclusivity has gone without a
# year. The date is when the filer says exclusivity ends: its estimated minimum market
# exclusivity where it gives one, otherwise the later of the compound patent with any
# granted SPC and regulatory data protection. Pending extensions are in the note and
# not taken, except where the filer's own dates include them and it does not say which
# (Lilly, Incyte), which the note records.
ticker,brand,region,loe,basis,accession,quote,note
AMGN,Prolia,EU,expired,RANKL antibody patents expired (select countries),0000318154-26-000010,"Our patents for RANKL antibodies, including sequences, for Prolia expired in February 2025 in the United States and in November 2025 in select countries in Europe.",Expired November 2025 in select countries in Europe. Filing states multiple biosimilars have launched in the United States and ROW.
AMGN,Xgeva,EU,expired,RANKL antibody patents expired (select countries),0000318154-26-000010,"Our patents for RANKL antibodies, including sequences, for XGEVA expired in February 2025 in the United States and in November 2025 in select countries in Europe.",Expired November 2025 in select countries in Europe. Filing states multiple biosimilars have launched in the United States and ROW.
AMGN,Repatha,EU,2031,compound patent with SPC,0000318154-26-000010,"Repatha® (evolocumab) U.S. Antibodies 8/27/2029 U.S. Methods of treatment 5/10/2032 Europe Compositions(1) 8/22/2028 ... evolocumab — France, Italy, Spain and the United Kingdom, expiring in 2031","Europe compositions patent 2028-08-22; SPCs issued in at least France, Italy, Spain and the UK expire 2031. Later Europe patents: methods of treatment 2032-05-10, formulation 2033-05-03. Sanofi and Regeneron infringement actions against Repatha pending in Germany and at the UPC."
AMGN,Evenity,EU,2031,compound patent with SPC,0000318154-26-000010,"EVENITY® (romosozumab-aqqg) ... Europe Antibodies(1) 4/28/2026 Europe Formulation and methods of using formulation 5/11/2031 Europe Methods of treatment 4/18/2032 ... romosozumab — France, Germany, Italy, Spain and the United Kingdom, expiring in 2031","Europe antibodies patent 2026-04-28; SPCs issued in at least France, Germany, Italy, Spain and the UK expire 2031. Later Europe patents: formulation 2031-05-11, methods of treatment 2032-04-18. UCB leads commercialization in most European countries."
AMGN,Tepezza,EU,2035,regulatory exclusivity,0000318154-26-000010,"TEPEZZA® (teprotumumab-trbw)(3) ... (3)We have biologic exclusivity in the United States and regulatory exclusivity in Europe covering teprotumumab-trbw that will expire in 2032 and 2035, respectively.",No European patent listed. EC marketing authorization granted June 2025.
AMGN,Blincyto,EU,2029,compound patent with SPC,0000318154-26-000010,"BLINCYTO® (blinatumomab) ... Europe Bifunctional polypeptides(1) 11/26/2024 Europe Method of treatment 11/6/2029 ... blinatumomab — France, Germany, Italy, Spain and the United Kingdom, expiring in 2029","Europe bifunctional polypeptides patent expired 2024-11-26; SPCs issued in at least France, Germany, Italy, Spain and the UK expire 2029. Method-of-treatment patent 2029-11-06."
AMGN,Nplate,EU,2027-04-20,formulation patent,0000318154-26-000010,Nplate® (romiplostim) U.S. Formulation 2/12/2028 Europe Formulation 4/20/2027,Only Europe patent the filing lists for Nplate is a formulation patent; no compound patent or data protection date stated.
AMGN,Tezspire,EU,2033,compound patent with SPC,0000318154-26-000010,"TEZSPIRE® (tezepelumab-ekko) ... Europe Polypeptides(1) 9/9/2028 ... tezepelumab — France, Italy and Spain, expiring in 2033","Europe polypeptides patent 2028-09-09; SPCs issued in at least France, Italy and Spain expire 2033. AstraZeneca leads commercialization outside North America."
AMGN,Kyprolis,EU,2030,compound patent with SPC,0000318154-26-000010,"KYPROLIS® (carfilzomib) ... Europe Compositions, compounds and methods of treatment(1) 12/7/2025 Europe Pharmaceutical compositions and methods of making 5/8/2033 ... carfilzomib — France, Germany, Italy, Spain and the United Kingdom, expiring in 2030","Europe compositions, compounds and methods of treatment patent 2025-12-07; SPCs issued in at least France, Germany, Italy, Spain and the UK expire 2030. Later Europe pharmaceutical compositions and methods of making patent 2033-05-08."
AMGN,Enbrel,CA,expired,biosimilars launched,0000318154-26-000010,"Companies have launched versions of EPOGEN, NEUPOGEN, Neulasta and ENBREL (Canada only) with U.S. ENBREL biosimilars approved but not launched.",Filing states etanercept biosimilars have launched in Canada; no expiry year stated.
AZN,Calquence,CN,2032,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Calquence (acalabrutinib) | ... 2026-2032, 2032-2036 | 2032, 2036 | 2032-2035, 20352-2036 | 2037, 2036","Other patents: 2036. Table cell: ""2032, 2036""."
