# Remternetug (LLY).
# Remternetug (LY3372993) is Lilly's wholly owned follow-on to Kisunla: an antibody against pyroglutamate-modified amyloid
# beta, given as a subcutaneous injection at home. The registrational trial modelled is TRAILRUNNER-ALZ 3 (NCT06653153,
# 1,400 patients, active not recruiting, primary completion 2029-04): 18 months of treatment against placebo in people aged
# 55 to 80 with a plasma p-tau result showing amyloid pathology and no or minimal cognitive and functional impairment, on
# time to clinically meaningful progression on the Clinical Dementia Rating. That is a preclinical label, outside the
# symptomatic MCI and mild dementia label Kisunla holds, so it is not a second model of Kisunla's patients. Not modelled:
# TRAILRUNNER-ALZ 1 (NCT05463731), a Phase 3 in early symptomatic disease on an amyloid-clearance endpoint, primary
# completion 2024-04-24, completed 2026-05-12, no posted results and no filing found; its patients are Kisunla's. Nor the
# DIAN-TU prevention trials, which Washington University sponsors. The code row LY3372993 carries no seed of its own.
# Price anchor: Kisunla's published list, $32,000 for 12 months, netted to its July 2026 Medicare ASP. Uptake anchor: the
# measured anti-amyloid class new-start rate from CMS (Leqembi plus Kisunla, 0.954% of their label pool in 2025) at a
# labelled 0.5x judgement on the preclinical pool.
#
# Written 2026-09-24 on a parallel branch; every number reopened against its source and corrected on 2026-09-26 (forecast
# start as the first full year on sale, the ramp measured from it, the preclinical pool rebuilt on the registry's 55 to 80
# age band). Company-level rows are Lilly's own, verbatim from lly_kisunla.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
LLY,Remternetug,,US,base,beta,,0.69,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.54 raw)",
LLY,Remternetug,,US,base,cogs_pct,,0.1696,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Remternetug,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
LLY,Remternetug,,US,base,debt_weight,,0.050003,,,"filed TotalDebt of 54,908mm USD at 2026-06-30 over debt plus market capitalisation",
LLY,Remternetug,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
LLY,Remternetug,,US,base,other_costs_pct,,0.168654,,share of revenue,"derived: LLY turned 14.30% of revenue into free cash over 2018 to 2025 against the 38.1% its filed expense lines leave. Restated before interest: LLY paid $3,152mm of interest inside operating cash flow over 2018 to 2025, 1.17% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 28.46% to 27.30%. Restated at replacement capex: LLY spent $23,144mm on plant over 2018 to 2025 against $7,255mm of plant depreciation, 5.89% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 27.30% to 20.25%. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated without working capital build: over 2018 to 2025 LLY's cash flow statement shows receivables up $15,658mm, inventories up $10,223mm, payables and accrued liabilities up $18,257mm, a working capital build of $7,624mm, 2.83% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 20.25% to 16.87%.","amortisation, restructuring and capital spending, none of which the filed lines carry. Read over eight years and not the usual three: Lilly turned 20.0% of revenue into free cash over 2018 to 2022 and 9.4% over 2023 to 2025, the difference being a capacity build-out that took capital spending from 5% of revenue to 12%. Three years takes the trough of that build as the perpetual margin; eight spans both phases"
LLY,Remternetug,,US,base,rd_pct,,0.2046,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Remternetug,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
LLY,Remternetug,,US,base,sga_pct,,0.1702,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Remternetug,,US,base,tax_rate,,0.1637,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
