# obudanersen (IONS).
# Obudanersen (ION582) is Ionis' intrathecal antisense oligonucleotide against the UBE3A antisense transcript, meant to switch on the silent paternal UBE3A copy in Angelman syndrome. Ionis owns it outright: Biogen declined its option under the 2018 collaboration. The registrational trial is REVEAL (NCT06914609). It is randomised 2:1, double-blind and placebo-controlled, with quarterly doses of 40 or 80 mg. The first cohort is 136 children aged 2 to under 18 with a UBE3A deletion or mutation, and the primary endpoint is Bayley-4 expressive communication. Primary completion is 2027-08, with topline in the second half of 2027. Price anchor: Spinraza, the Ionis-discovered intrathecal ASO for a paediatric genetic neurological disease, at $330,719 per CMS Part D beneficiary. Uptake anchor: Daybue, the first drug for Rett syndrome, solved through the engine from its 987 US patients in Q2 2025.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
IONS,obudanersen,,US,base,beta,,0.8,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.71 raw)",
IONS,obudanersen,,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNA-targeted medicines company, with its own filed FY2025 lines from its first year of profit; Ionis has product revenue (Tryngolza, Dawnzera) but its FY2025 filed lines are a loss, 81mm on 44mm of revenue, so no ratio of its own is a steady-state margin. Ionis's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when IONS files a cost of sales"
IONS,obudanersen,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
IONS,obudanersen,,US,base,debt_weight,,0.155573,,,"Ionis's 10-Q for the quarter to 2026-06-30 (0000874015-26-000251, MD&A contractual obligations and Note 11): $770.0mm of 0% notes due 2030 and $575.0mm of 1.75% notes due 2028 after the 0% notes due 2026 were repaid in April 2026, $1,345mm, over debt plus market capitalisation: 166.2mm shares at the $43.93 close of 2026-09-23; a building mortgage of under $9mm and the liability for the sale of future royalties are left out",a reading of the balance sheet
IONS,obudanersen,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
IONS,obudanersen,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNA-targeted medicines company, with its own filed FY2025 lines from its first year of profit; Ionis has product revenue (Tryngolza, Dawnzera) but its FY2025 filed lines are a loss, 81mm on 44mm of revenue, so no ratio of its own is a steady-state margin. Ionis's own filed lines are a loss, so they give no margin to read. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when IONS files a cost of sales"
IONS,obudanersen,,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNA-targeted medicines company, with its own filed FY2025 lines from its first year of profit; Ionis has product revenue (Tryngolza, Dawnzera) but its FY2025 filed lines are a loss, 81mm on 44mm of revenue, so no ratio of its own is a steady-state margin. Ionis's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when IONS files a cost of sales"
IONS,obudanersen,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
IONS,obudanersen,,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNA-targeted medicines company, with its own filed FY2025 lines from its first year of profit; Ionis has product revenue (Tryngolza, Dawnzera) but its FY2025 filed lines are a loss, 81mm on 44mm of revenue, so no ratio of its own is a steady-state margin. Ionis's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when IONS files a cost of sales"
IONS,obudanersen,,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's other RNA-targeted medicines company, with its own filed FY2025 lines from its first year of profit; Ionis has product revenue (Tryngolza, Dawnzera) but its FY2025 filed lines are a loss, 81mm on 44mm of revenue, so no ratio of its own is a steady-state margin. Ionis's own filed lines are a loss, so they give no margin to read. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when IONS files a cost of sales"
