# Lumigan (ABBV). $410mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients.
#
# AbbVie prints no 2026 figure for Lumigan/Ganfort. From the first quarter of 2026 the
# Eye Care products sit inside All other: the restated first half of 2025 is
# $2,370mm, the $1,020mm of Eye Care plus the $1,350mm left after every named
# product in the 2025 results exhibit (0001551152-25-000036). So the rate is FY2025 over
# FY2024 from the 10-K, $410mm against $429mm, -4.4%. The actuals the
# terminal checks this against will not arrive either, which argues for folding
# the Eye Care seeds into one line.
#
# Loss of exclusivity. The loader reads the date from the book.
# AbbVie states no US loss of exclusivity date for Lumigan in the FY2025 10-K
# (0001551152-26-000008) or in either 2026 10-Q (0001551152-26-000017,
# 0001551152-26-000026). Its patent discussion dates Skyrizi and Rinvoq only and then
# says: "AbbVie believes that no other single patent, license, trademark (or related
# group of patents, licenses, or trademarks), is material in relation to the company's
# business as a whole."
#
# The book sets 2027-06-13 on patent 7851504, which the Orange Book flags as
# drug substance and is the only patent listed.
#
# The line AbbVie prints is Lumigan/Ganfort, so the base carries Ganfort as well.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Lumigan,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
ABBV,Lumigan,,US,base,base_revenue,,410.0,,mm USD,"AbbVie FY2025 10-K (0001551152-26-000008), MD&A net revenues table: Lumigan/Ganfort United States $189mm, International $221mm, total 410mm in FY2025 and 429mm in FY2024",the anchor
ABBV,Lumigan,,US,base,revenue_growth_pct,,-0.044289,,"annual, near term","AbbVie FY2025 10-K (0001551152-26-000008), MD&A net revenues table: Lumigan/Ganfort 410mm in FY2025 against 429mm in FY2024","the years, not a 2026 anchor, because AbbVie prints no 2026 figure for Lumigan/Ganfort: from the first quarter of 2026 the four Eye Care lines sit inside All other. The restated first half of 2025 for All other in the 10-Q (0001551152-26-000026) is $2,370mm, which is the $1,020mm of Eye Care plus the $1,350mm left after every named product in the 2025 results exhibit (0001551152-25-000036); the rate fades to nought over five years"
ABBV,Lumigan,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
ABBV,Lumigan,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
ABBV,Lumigan,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
ABBV,Lumigan,,US,base,forecast_years,,10,,years,"set to run past the 2027 loss of exclusivity the book holds (Orange Book patent 7851504, 2027-06-13) and through the erosion tail, at the ten-year minimum",
ABBV,Lumigan,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
ABBV,Lumigan,,US,base,cogs_pct,,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Lumigan,,US,base,sga_pct,,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Lumigan,,US,base,rd_pct,,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
