# Full-year 2026 revenue guidance, as each company last stated it before 2026-09-17, read
# from its own results release (8-K or 6-K). The note opens with the guidance sentence and
# its accession number. Insert-only, like every consensus seed.
#
# Guidance in words ("mid-to-high single-digit percentage") is kept as words: value, low
# and high stay blank. A company that guides no revenue has a row saying what it does
# guide. Gilead and Incyte guide product sales only, so their rows use ProductSales rather
# than Revenue and are not read against a total-revenue forecast.
ticker,metric,period,value,low,high,currency,source,as_of,note,fx_basis
ABBV,Revenue,FY2026,,,,,guidance,2026-09-03,"AbbVie reaffirms previously issued 2026 full-year adjusted diluted EPS guidance range of $13.87 - $14.07; reaffirms previously issued third-quarter adjusted diluted EPS guidance range of $3.84 - $3.88 (accession 0001104659-26-104940, 8-K exhibit 99.1) No revenue guidance: AbbVie guides adjusted diluted EPS only. The Q2 2026 results release (accession 0001551152-26-000023, 8-K exhibit 99.1, filed 2026-07-31) set that range: ""As a result, AbbVie is updating its adjusted diluted EPS guidance range for the full year 2026 from $13.91 - $14.11 to $13.87 - $14.07, reflecting a change of $0.04 at the midpoint."" The Q4 2025 and Q1 2026 results releases also guide EPS only.",
AMGN,Revenue,FY2026,38800000000,38200000000,39400000000,USD,guidance,2026-08-04,"For the full year 2026, the Company expects: Total revenues in the range of $38.2 billion to $39.4 billion. (accession 0000318154-26-000124, 8-K exhibit 99.1) Scope: total revenues (product sales plus other revenues), reported USD.",reported
AZN,RevenueGrowth,FY2026,,,,,guidance,2026-07-27,"AstraZeneca reconfirms Total Revenue and Core EPS guidance for FY 2026 at CER, based on the average foreign exchange rates through 2025. Total Revenue is expected to increase by a mid-to-high single-digit percentage (accession 0001104659-26-086846, 6-K main document; the H1 and Q2 2026 results are the 6-K itself, not an exhibit) Growth at constant exchange rates. ""Mid-to-high single-digit"" is not a number, so value, low and high are blank. Scope: Total Revenue (Product Revenue plus Collaboration Revenue). The release adds that at June 2026 average rates currency would add a low single-digit percentage to Total Revenue versus CER. A 2026-09-01 6-K (accession 0001654954-26-007986) says the Zegfrovy transaction does not impact financial guidance.",cer
BIIB,RevenueGrowth,FY2026,,,,,guidance,2026-07-29,"Full year total revenue is now expected to increase by a mid-single digit percentage for 2026 as compared to 2025 driven by continued revenue growth from our Growth Portfolio. (accession 0000875045-26-000073, 8-K exhibit 99.1) Growth on a reported basis: GAAP total revenue (the release says Biogen guides no GAAP measure other than revenue), assuming foreign exchange rates as of July 24, 2026 hold for the rest of the year; no constant-currency basis is stated. ""Mid-single digit"" is not a number, so value, low and high are blank.",reported_with_stated_rate_date
GILD,ProductSales,FY2026,30250000000,30100000000,30400000000,USD,guidance,2026-08-04,"For the full year 2026, Gilead now expects: Product sales $30,100 (low end) to $30,400 (high end) in millions, Previously $30,000 to $30,400; Product sales excluding Veklury $29,800 to $30,100, Previously $29,400 to $29,800; Veklury ~$300, Previously ~$600 [guidance table transcribed row by row] (accession 0000882095-26-000028, 8-K exhibit 99.1) Scope: product sales only, not total revenues; royalty, contract and other revenues are not guided. Reported USD.",reported
INCY,ProductSales,FY2026,5195000000,5130000000,5260000000,USD,guidance,2026-07-28,"Incyte is raising its full year 2026 total net sales guidance to $5,130 - $5,260 million, reflecting the impact of the agreement with CMS related to the Opzelura line extension, as well as the continued strong performance of its Hematology and Oncology growth products, including Niktimvo, Monjuvi/Minjuvi and Zynyz. (accession 0000879169-26-000053, 8-K exhibit 99.1) Scope: total net product sales, not total revenues; royalty revenues and milestone and contract revenues are not guided. Components: Jakafi $3,220 - $3,270 million (unchanged), Opzelura $1,050 - $1,100 million, Hematology and Oncology $860 - $890 million. Previous total net sales guidance $4,770 - $4,940 million. A 2026-08-31 8-K (accession 0000879169-26-000058) says the Jakafi Medicaid pricing agreement is not expected to affect 2026 guidance.",
MRK,Revenue,FY2026,66800000000,66300000000,67300000000,USD,guidance,2026-08-04,"The Company is raising and narrowing the range for its full-year sales outlook and now anticipates full-year 2026 sales to be between $66.3 billion and $67.3 billion, including a positive impact from foreign exchange of approximately 1% at mid-July 2026 exchange rates. (accession 0001104659-26-090045, 8-K exhibit 99.1) Scope: worldwide sales, Merck's top line, with no non-GAAP adjustments to sales. Reported USD including about 1% currency benefit. Prior range $65.8 billion to $67.0 billion.",reported_with_stated_rate_date
NVO,RevenueGrowth,FY2026,-3,-6,0,,guidance,2026-08-04,"Adjusted sales growth is now expected to be 0% to -6% at CER, with fluctuations in growth rates expected across quarters. (accession 0000353278-26-000023, 6-K main document; the H1 2026 financial report is the 6-K itself, not an exhibit) Growth at constant exchange rates on adjusted sales, which exclude non-recurring effects, chiefly the reversal of 340B provisions in the US. Range read as low -6, high 0, midpoint -3. As reported in DKK, growth is expected to be around 1 percentage point lower than at CER. On a non-adjusted basis the midpoint at CER would be 5%. Prior guidance (6 May 2026): -4% to -12%. No Novo 6-K filed from 2026-08-05 to 2026-09-15 mentions guidance or outlook.",cer
NVS,RevenueGrowth,FY2026,,,,,guidance,2026-07-21,"Full-year 2026 guidance reaffirmed: Net sales expected to grow low single-digit and core operating income expected to decline low single-digit (accession 0001114448-26-000012, 6-K exhibit 99.1) Growth at constant currencies: the 2026 outlook table reads ""Barring unforeseen events; growth vs. prior year in cc"". ""Low single-digit"" is not a number, so value, low and high are blank. Scope: net sales. At mid-July rates currency would add about 1 percentage point to net sales. A 2026-09-08 6-K (accession 0001171843-26-005908) restates only the 5-6% 2025-2030 sales CAGR, not the 2026 guide.",cer
REGN,Revenue,FY2026,,,,,guidance,2026-07-30,"The Company's full year 2026 financial guidance consists of the following components: GAAP R&D; Non-GAAP R&D; GAAP SG&A; Non-GAAP SG&A; GAAP gross margin on net product sales; Non-GAAP gross margin on net product sales; GAAP COCM; Non-GAAP COCM; Capital expenditures; GAAP effective tax rate; Non-GAAP effective tax rate [component names transcribed from the guidance table] (accession 0000872589-26-000023, 8-K exhibit 99.1) No revenue guidance: Regeneron guides expenses, gross margin, capex and tax rate only, with no revenue, sales or EPS guidance. The Q4 2025 and Q1 2026 results releases guide the same components.",
