# Ubrelvy (ABBV). $1,271mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Ubrelvy,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
ABBV,Ubrelvy,,US,base,base_revenue,,1271.0,,mm USD,"ABBV FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
ABBV,Ubrelvy,,US,base,revenue_growth_pct,,0.265,,"annual, near term","AbbVie's own six-month table in the 8-K exhibit (0001551152-26-000023, filed 2026-07-31): total net revenues of $731mm in the first half of 2026, which it reports as +26.5% against the first half of 2025, reported basis","the halves, which is the most recent full comparison on file"
ABBV,Ubrelvy,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
ABBV,Ubrelvy,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
ABBV,Ubrelvy,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
ABBV,Ubrelvy,,US,base,forecast_years,,20,,years,set to run past the 2041 loss of exclusivity and through the erosion tail,
ABBV,Ubrelvy,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
ABBV,Ubrelvy,,US,base,cogs_pct,,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,sga_pct,,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,rd_pct,,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,tax_rate,,0.1081,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,beta,,0.53,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.29 raw)","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","ABBV's own, as every ABBV asset carries"
ABBV,Ubrelvy,,US,base,debt_weight,,0.123112,,,"filed TotalDebt of $64,503mm over debt plus market capitalisation: 1,767.1mm shares at 2026-07-27 at the $259.99 close of 2026-09-01","ABBV's own, as every ABBV asset carries"
