# Osivelotor (PFE): PF-07940367, formerly GBT601, the next-generation oral HbS polymerisation inhibitor Pfizer bought with Global Blood Therapeutics, in a Phase 2/3 (NCT05431088) that the FDA's partial hold delayed to a December 2030 primary completion.
# Oxbryta was withdrawn in 2024 and has no revenue, so this is new revenue rather than a successor to a modelled line. The pool is US SCD aged 12 and over with HbSS or HbS-beta-zero and 2 to 10 VOCs a year, priced, paced, discontinued and penetrated at Oxbryta's own record.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Osivelotor,,US,base,therapy_mode,,,chronic,,"once-daily oral tablet taken for as long as it works: 150 mg a day after a 300 mg loading week through week 48 of Part B, then open-label (NCT05431088)",discontinuation_pct carries who stops
PFE,Osivelotor,,US,base,list_price_per_patient,,0.066631,,mm USD,"the price is Oxbryta's (voxelotor) $66,631 a Medicare Part D beneficiary in 2023 ($101.3mm over 1,521 beneficiaries, drug_demand): the HbS polymerisation inhibitor osivelotor was designed to succeed, sold by Pfizer to the same patients, in its last full year on the market","a comparator, not a price this product has. 2023 rather than 2024, whose $56,178 is a part year. It sits well below the $10,417 monthly WAC GBT reported (FY2021 10-K, 0000950170-22-001781) because it carries adherence and part-year use, which is how the book reads every CMS price"
PFE,Osivelotor,,US,base,gross_to_net_pct,,0.1447,,share off list,"derived from GBT's own FY2021 10-K (0000950170-22-001781): provisions for rebates, co-payment assistance, the Medicare Part D coverage gap, returns, prompt-payment discounts, distributor fees and chargebacks of $32.9mm against net Oxbryta sales of $194.7mm, 14.5% of gross sales","Oxbryta's measured discount in a population that leans on Medicaid, and a floor for a 2032 launch: the Medicare Part D Manufacturer Discount Program (10% in the initial phase, 20% in the catastrophic phase) began in 2025 (Pfizer FY2025 10-K). ICER's 2020 review assumed 27% because no net price was known then (Crizanlizumab, Voxelotor, and L-Glutamine for SCD, Evidence Report, Table ES.1). Net price here $56,990"
PFE,Osivelotor,,US,base,discontinuation_pct,,0.67,,share stopping a year,"Sun X et al., Blood 2024;144(Suppl 1):7669 (US Medicaid claims, 1,080 patients initiating voxelotor from December 2019 to December 2021): 67% discontinued over the follow-up, and 55% were still persistent at three months","the claims measure the book reads persistence from. Follow-up ran up to 25 months, so this is close to a one-year rate; the three-month figure alone means at least 45% stop in the first quarter. Hydroxyurea initiators discontinued at 78%. Pfizer's RETRO registry at nine US sites, following patients about a year from the start, reported a mean treatment duration of 50.5 weeks (Andemariam B et al., Blood Adv 2026;10(9):3032-3043), a registry population that stayed on far longer than Medicaid claims show"
PFE,Osivelotor,,US,base,forecast_start_year,,2032,,year,"NCT05431088, the only Phase 2/3 on this asset, has an estimated primary completion of 2030-12-30 (trials table, registry update 2026-08-18); the book's pipeline seeds put the first full year two calendar years after the earliest primary completion","no Pfizer filing gives a readout or submission date. The FDA's partial clinical hold of December 2024 stopped new enrolment; the FDA later let enrolment proceed outside sub-Saharan Africa, and enrolment of new participants began in the first quarter of 2026 (Q1 and Q2 2026 10-Qs, 0000078003-26-000054 and 0000078003-26-000095). The primary completion moved from 2026-10 at first posting in 2022 to 2028-10-01 in October 2024 and to 2030-12-30 in February 2026, and the August 2026 amendment narrowed entry to HbSS and HbS-beta-zero genotypes (ClinicalTrials.gov record history)"
PFE,Osivelotor,,US,base,economics_share,,1.0,,share of the asset,"Pfizer acquired Global Blood Therapeutics in October 2022 for $68.50 a share (joint release, GBT 8-K exhibit 99.1, 0000950157-22-000902). GBT's FY2021 10-K (0000950170-22-001781) says GBT601 was discovered and designed by its scientists and that GBT is the sole owner of its issued US composition of matter patent, expiring in 2039 absent extension. The FY2025 10-K late-stage table (0000078003-26-000026) marks no collaboration against osivelotor","all of it. The same GBT 10-K discloses a royalty of less than 1% of net sales to the Regents of the University of California under jointly owned patents covering Oxbryta and certain Oxbryta analogs; whether any covers osivelotor is not stated, and the engine has no royalty key. The 2039 compound patent plus the five-year maximum extension gives 2044, the same year the engine's twelve-year default gives from a 2032 launch"
PFE,Osivelotor,"Anemia, Sickle Cell",US,base,prevalence,,100000,,patients,"CDC, Data and Statistics on Sickle Cell Disease: SCD affects about 100,000 people in the United States, the pool casgevy.csv also uses","Hassell KL, Am J Prev Med 2010;38(4 Suppl):S512-S521, puts it at 72,000 to 98,000 after correcting for early deaths"
PFE,Osivelotor,"Anemia, Sickle Cell",US,base,incidence,,1971,,patients a year,"Therrell BL Jr et al., Semin Perinatol 2015;39(3):238-251: 39,422 confirmed SCD cases among 76,527,627 US newborns screened over 20 years, 1,971 a year","births rather than new eligible patients; the engine filters them by the eligible share below, which is what casgevy.csv does with its 2,000"
PFE,Osivelotor,"Anemia, Sickle Cell",US,base,eligible_pct,,0.068,,share of the pool,"derived, in two steps. Shah N et al., J Health Econ Outcomes Res 2019;6(3):106-117 (Medicaid Analytic eXtract, 20,909 patients with SCD, 2009 to 2013): 1,671 of 8,521 adults (19.6%) and 1,552 of 12,388 children (12.5%) had 2 to 10 VOCs needing an inpatient stay in a year, Part B's entry window, and 40.75% of the cohort were adults and 16.94% aged 12 to 17, so 0.4075 x 0.196 + 0.1694 x 0.125 = 10.1% are aged 12 and over with 2 to 10 VOCs. Chang M et al., Br J Haematol 2025;207(3):1070-1075 (GRNDaD registry, 38 US sites): 2,130 of 3,169 active patients (67.2%) have HbSS or HbS-beta-zero, the genotypes the Phase 2/3 now enrols. 10.1% x 67.2% = 6.8%","two errors that pull apart. Counting only inpatient VOCs undercounts, since the trial's VOC includes ED, urgent care, clinic and infusion centre visits (NCT05431088). The genotype share comes from specialist centres; among newborns it is 57% (Kayle M et al., MMWR 2024;73:248-254). casgevy.csv carries 16% for age 12 and over with 2 or more VOCs, with no upper cap and no genotype filter"
PFE,Osivelotor,"Anemia, Sickle Cell",US,base,ramp_steepness,,0.29,,logistic k,"Oxbryta's own launch in these patients, fitted: its CMS Part D beneficiaries went 1,090, 1,247, 1,385 and 1,521 over 2020 to 2023, its first four full years after the November 2019 approval, and a least-squares logistic of k=0.29 with a midpoint at -0.2 years reproduces them to within 4 beneficiaries (rmse 2.5)","a front-loaded, slow-climbing launch: Oxbryta reached most of the Medicare patients it would reach in its first full year and added 10% to 14% a year after. 2024 is left out because Pfizer withdrew it that September (FY2025 10-K, 0000078003-26-000026)"
