# Icotyde (JNJ), icotrokinra, oral IL-23 receptor antagonist, launched March 2026.
#
# Its sales sit inside Johnson & Johnson's Other Immunology line and are not broken out,
# so it is built from patients and solved to GlobalData's 2032 forecast.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
JNJ,Icotyde,,US,base,therapy_mode,,,chronic,,"approved and selling, built from patients","Johnson & Johnson does not report its sales on a line of its own, so there is no revenue to anchor on and the forecast is built from patients"
JNJ,Icotyde,,US,base,forecast_start_year,,2027,,year,the first full year after its March 2026 launch,"2026, its launch year, is left out, as it is for every launch anchored on a run rate"
JNJ,Icotyde,,US,base,forecast_years,,15,,years,long enough to run past the loss of exclusivity and through the erosion tail,
JNJ,Icotyde,,US,base,pos,,1.0,,,"approved: FDA approval 2026-03-17 for moderate-to-severe plaque psoriasis (Drugs@FDA, NDA 220149)","stated, because no development phase applies"
JNJ,Icotyde,,US,base,list_price_per_patient,,0.100801,,mm USD per year,"'The pricing plan has WAC package price set for 200mg tablet at $8,285' for 30 tablets, one a day (Janssen's 30-day new product report to the Vermont Attorney General, 2026-04-16; California HCAI WAC filing, NDC 57894020130), so $100,802 a year at list",
JNJ,Icotyde,,US,base,gross_to_net_pct,,0.5,,share,analyst convention: manufacturer rebates in a competitive Part D class; no net price for the psoriasis class is published,"the revenue level is solved to a published forecast below, so this sets the patient count behind it"
JNJ,Icotyde,,US,base,discontinuation_pct,,0.541742,,share of the stock per year,"apremilast, the oral systemic analogue: 'persistence with the same index treatment over the 24-month follow-up period was 21%' (Wu JJ et al., J Dermatolog Treat 2023;34(1):2177095), so the annual rate that leaves 21% after two years is 1 - 0.21^0.5","trial retention was higher, 88% completing ICONIC-TOTAL to week 52; the real-world rate is taken"
JNJ,Icotyde,Psoriasis,US,base,prevalence,,7550000,,patients,"'an estimated 7.55 million US adults with psoriasis' (Armstrong AW et al., JAMA Dermatol 2021;157(8):940-946, DOI 10.1001/jamadermatol.2021.2007)",
JNJ,Icotyde,Psoriasis,US,base,incidence,,7550000,,patients per year,"convention: no US incidence is on file beside the prevalence, so the pool is stated equal to it and read as the patients eligible to start each year","peak uptake below is solved to a published forecast, so the pool shapes the ramp rather than the level"
JNJ,Icotyde,Psoriasis,US,base,eligible_pct,,0.1663,,share,"'16.63% are estimated to suffer from more moderate to severe disease (≥3% BSA)' (Kurd SK, Gelfand JM, J Am Acad Dermatol, DOI 10.1016/j.jaad.2008.09.022), the labelled population",NHANES 2003-2004 for ages 20 to 59 applied to all adults
JNJ,Icotyde,Psoriasis,US,base,ramp_steepness,,1.3265,,,"logistic k implied by Sotyktu's Medicare Part D uptake, 127 beneficiaries in 2022 to 1,803 in 2024 (CMS Part D spending by drug), the last oral launch into moderate-to-severe psoriasis",
JNJ,Icotyde,Psoriasis,US,base,ramp_midpoint_year,,2,,years from the forecast start,"Sotyktu's own: it reached 1,148 of its 1,803 2024 beneficiaries in 2023, its second year (CMS Part D)",
JNJ,Icotyde,Psoriasis,US,base,penetration_peak_pct,,0.037672,,share of each year's eligible patients,"solved: the share that takes the build's peak to GlobalData's forecast, read as the peak since it is the end of GlobalData's model, 'with 2032 sales expected to reach $4.4bn globally' (Pharmaceutical Technology, Robert Barrie, 2026-03-20)","a global figure met by a U.S. build, as the book's worldwide products are; Citi has $5.5bn at peak and Johnson & Johnson 'one of our next big $5 billion-plus brands' (Q3 2025 call)"
JNJ,Icotyde,,US,base,cogs_pct,,0.259683,,share of revenue,"Johnson & Johnson's FY2025 10-K (0000200406-26-000016), income before tax by segment: Innovative Medicine cost of products sold $15,646mm on sales of $60,401mm, plus 64.1% (its share of sales) of the $61mm by which the company's filed line ($30,256mm) exceeds its two segments, so the book's costs still add up to the filed line","the segment's own ratio rather than the company's blend (0.3212), which carried MedTech's heavier cost of goods and lighter research onto every drug"
JNJ,Icotyde,,US,base,sga_pct,,0.198379,,share of revenue,"Johnson & Johnson's FY2025 10-K (0000200406-26-000016), income before tax by segment: Innovative Medicine selling, marketing and administrative $11,375mm on sales of $60,401mm, plus 64.1% (its share of sales) of the $947mm by which the company's filed line ($23,676mm) exceeds its two segments, so the book's costs still add up to the filed line","the segment's own ratio rather than the company's blend (0.2514), which carried MedTech's heavier cost of goods and lighter research onto every drug"
JNJ,Icotyde,,US,base,rd_pct,,0.195808,,share of revenue,"Johnson & Johnson's FY2025 10-K (0000200406-26-000016), income before tax by segment: Innovative Medicine research and development expense $11,827mm on sales of $60,401mm, and the two segments add up to the filed line","the segment's own ratio rather than the company's blend (0.1557), which carried MedTech's heavier cost of goods and lighter research onto every drug"
