# Etentamig (ABBV-383): AbbVie's BCMA x CD3 T-cell engager, owned outright since the 2021 TeneoOne acquisition.
# Built on relapsed myeloma after two lines, the population of CERVINO, whose December 2027 completion dates a 2029 start;
# priced off Tecvayli, turned over at its own phase 1 progression-free survival and scaled abroad by Venclexta's split.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Etentamig,,US,base,therapy_mode,,,chronic,,"D'Souza et al., J Clin Oncol 2022 (doi:10.1200/JCO.22.01504), the phase 1 of ABBV-383: an intravenous infusion once every 3 weeks with no step dosing, measured on progression-free survival; CERVINO (NCT06158841) gives it as monotherapy against standard available therapies with progression-free survival as a primary endpoint","a standing infusion billed every cycle, not a single course"
ABBV,Etentamig,,US,base,list_price_per_patient,,0.129048,,mm USD,"Tecvayli, CMS Medicare Part B 2024: $199,895,746 over 1,549 beneficiaries, $129,048 a beneficiary. Teclistamab is the BCMA x CD3 T-cell engager already sold in the US and the closest comparator on file (the price the JNJ-79635322 and ramantamig seeds use)","a comparator, not a price this product has. Spending over beneficiaries counts patients treated for part of the year, so it sits below a full year of therapy. Elrexfio, the other BCMA engager on file, came to $119,494 over 277 beneficiaries"
ABBV,Etentamig,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it (the basis the sacituzumab tirumotecan seed uses)","an infused medicine bought and billed under Part B. Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high"
ABBV,Etentamig,,US,base,discontinuation_pct,,0.5506,,share stopping a year,"D'Souza et al., J Clin Oncol 2022 (doi:10.1200/JCO.22.01504): median progression-free survival of 10.4 months across all 124 patients with relapsed or refractory myeloma given ABBV-383, the only published median for this molecule. At a constant hazard 0.5^(12/10.4) = 44.9% remain on therapy after a year, so 55.1% stop","the median was not reached at doses of 40 mg or more (n = 81) or in the 60 mg expansion, so the all-dose figure includes sub-therapeutic doses and overstates stopping. CERVINO has not read out"
ABBV,Etentamig,,US,base,forecast_start_year,,2029,,year,"CERVINO (NCT06158841), the only phase 3 of etentamig with a primary completion before 2033, completes in December 2027 (trials table and ClinicalTrials.gov, last updated 27 August 2026; enrolment closed at 421). The book's pipeline seeds put the first full year two calendar years after the earliest phase 3 primary completion, so 2029","no filing, acceptance or PDUFA date is stated in the FY2025 10-K (0001551152-26-000008) or either 2026 10-Q (0001551152-26-000017, 0001551152-26-000026); AbbVie started CERVINO in June 2024 (10-Q 0001551152-24-000031). The pomalidomide combination (NCT07728188, February 2033) and the newly diagnosed phase 2/3 (NCT07095452, January 2042) read out later and are not dated here"
ABBV,Etentamig,,US,base,economics_share,,1,,share,"AbbVie FY2021 10-K (0001551152-22-000007), Note 5: in September 2021 AbbVie acquired TeneoOne and TNB-383B (now etentamig), recorded a $400mm exercise payment to IPR&D, and the agreement carries up to $250mm of further development, regulatory and commercial milestones. The FY2025 10-K and both 2026 10-Qs name no partner, profit share or royalty on it","AbbVie owns the molecule outright, so the share is 1.0; the remaining milestones are a cost this share does not charge"
ABBV,Etentamig,Multiple Myeloma,US,base,prevalence,,36000,,patients,"SEER Cancer Stat Facts, myeloma: 36,000 estimated new US cases in 2026","the book's myeloma seeds count the annual diagnosed population rather than the 202,793 living with myeloma in 2023 (same page), most of whom are not in the line this trial enrols"
ABBV,Etentamig,Multiple Myeloma,US,base,incidence,,36000,,patients a year,"SEER Cancer Stat Facts, myeloma: 36,000 estimated new US cases in 2026",
ABBV,Etentamig,Multiple Myeloma,US,base,eligible_pct,,0.2713,,share of the pool,"Fonseca et al., BMC Cancer 2020 (doi:10.1186/s12885-020-07503-y), three US databases: of 22,062 patients treated without a transplant 43% received a second line and 55% of those a third; of 2,763 with a transplant 79% received a second line and 69% of those a third. (9,505 x 0.55 + 2,184 x 0.69) / 24,825 = 27.1% reach a third line, about 9,770 patients a year","CERVINO enrols after two or more lines including a proteasome inhibitor, an IMiD and an anti-CD38 antibody, and in the US after one such line. The third-line share fits the global criterion; the US allowance widens it where a first line already carried all three classes, for which no US share was found. Two things push the other way: the trial excludes prior BCMA therapy, for which no share was found either, and Fonseca counts treated patients only, so applied to all diagnoses the figure is high on those two counts"
ABBV,Etentamig,Multiple Myeloma,US,base,exus_multiple,,1.1378,,x US,"Venclexta, AbbVie's own oncology medicine, booked in AbbVie's net revenues in both regions (it shares US profits with Genentech and pays royalties outside the US) and the only one with a settled split: FY2025 net revenues of $1,486mm International against $1,306mm United States (10-K 0001551152-26-000008, key product revenues table; asset_revenue_regions), a ratio of 1.138","a haematology product sold in both regions, which is the closest AbbVie has to a myeloma launch"
ABBV,Etentamig,Multiple Myeloma,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the fit the camizestrant seed carries)",the oncology launch curve this book already carries
