# Telisotuzumab adizutecan (Temab-A, ABBV-400): AbbVie's c-Met ADC with a topoisomerase-1 inhibitor payload, wholly AbbVie's.
# Built on its two indications with phase 3 evidence: refractory colorectal cancer, whose AndroMETa-CRC completion in May 2029
# dates a 2031 start, and EGFR-mutated NSCLC after osimertinib a year later; priced off Trodelvy, turned over at its phase 1 PFS.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Telisotuzumab Adizutecan,,US,base,therapy_mode,,,chronic,,"Sharma et al., J Clin Oncol 2026 (doi:10.1200/JCO-25-01525), the phase 1 of Temab-A: given intravenously once every 3 weeks until disease progression, intolerable toxicity or consent withdrawal","an every-three-week infusion, not a single course"
ABBV,Telisotuzumab Adizutecan,,US,base,list_price_per_patient,,0.082521,,mm USD,"Trodelvy, CMS Medicare Part B 2024: $272,318,588 over 3,300 beneficiaries, $82,521 a beneficiary. Trodelvy is a topoisomerase-1 inhibitor ADC in solid tumours, the payload class Temab-A carries, and the comparator the sacituzumab tirumotecan and puxitatug seeds use","a comparator, not a price this product has. Emrelis, AbbVie's own c-Met ADC, launched in 2025 and has no CMS figure yet; AbbVie reports it inside Other Oncology, which was $33mm in the US in FY2025"
ABBV,Telisotuzumab Adizutecan,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it (the basis the sacituzumab tirumotecan seed uses)","an infused medicine bought and billed under Part B. Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high"
ABBV,Telisotuzumab Adizutecan,,US,base,discontinuation_pct,,0.7918,,share stopping a year,"Sharma et al., J Clin Oncol 2026 (doi:10.1200/JCO-25-01525): median progression-free survival of 5.3 months at 2.4 mg/kg, the recommended phase 2 dose, in late-line metastatic colorectal cancer. At a constant hazard 0.5^(12/5.3) = 20.8% remain after a year, so 79.2% stop","across all 122 colorectal patients the median was 4.6 months and treatment lasted a median 4.1 months. It is monotherapy, and the colorectal phase 3 adds bevacizumab. No lung median has been published, so the colorectal figure stands for both indications"
ABBV,Telisotuzumab Adizutecan,,US,base,forecast_start_year,,2031,,year,"AndroMETa-CRC (NCT07525206, Temab-A with bevacizumab against trifluridine/tipiracil with bevacizumab in refractory metastatic colorectal cancer, 990 patients) has an estimated primary completion of May 2029; the book's pipeline seeds put the first full year two calendar years after it. AbbVie reports starting it in June 2026 (10-Q 0001551152-26-000026)","the trials table's earlier phase 3, NCT06614192 (August 2027), is not a registrational readout any more: its ClinicalTrials.gov record went from 460 patients in two stages with a trifluridine/tipiracil plus bevacizumab arm to 74 patients on two Temab-A doses, active and not recruiting, in its 26 May 2026 version. Dating from it would give 2029. No filing or PDUFA date is stated in the FY2025 10-K or either 2026 10-Q"
ABBV,Telisotuzumab Adizutecan,,US,base,economics_share,,1,,share,"the FY2025 10-K (0001551152-26-000008) and both 2026 10-Qs name no collaboration, licence or royalty for Temab-A; the phase 1, which AbbVie funded, describes it as the c-Met antibody telisotuzumab (ABT-700), the antibody in AbbVie's Emrelis, conjugated to the topoisomerase-1 inhibitor payload adizutecan",held as wholly AbbVie's
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,prevalence,,158850,,patients,"SEER Cancer Stat Facts, colorectal cancer: 158,850 estimated new US cases in 2026","the annual diagnosed population, from which the metastatic and third-line shares are taken"
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,incidence,,158850,,patients a year,"SEER Cancer Stat Facts, colorectal cancer: 158,850 estimated new US cases in 2026",
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,eligible_pct,,0.0701,,share of the pool,"metastatic disease times the share reaching a third line. SEER stages 23% distant at diagnosis, and 34% localized and 37% regional with 5-year relative survival of 91.3% and 75.2%; taking that survival shortfall as recurrence gives 35.1% metastatic, against 55,230 deaths a year (34.8% of cases). Nevala-Plagemann et al. (J Natl Compr Canc Netw 2023, doi:10.6004/jnccn.2022.7082) find 4,407 of 22,078 US patients with metastatic colorectal cancer (20.0%) received a third line after two lines of standard chemotherapy. 0.351 x 0.200 = 0.0701, about 11,100 patients a year","AndroMETa-CRC enrols refractory disease without a c-Met cut-off in its posted criteria, so no biomarker share is applied; the earlier monotherapy study required c-Met above a cut-off, which would narrow a label written on it. A Flatiron abstract from ASCO 2026 (Pan et al.) puts the third-line share lower, 6,640 of 46,033 (14.4%)"
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,exus_multiple,,1.1378,,x US,"Venclexta, AbbVie's own oncology medicine, booked in AbbVie's net revenues in both regions (it shares US profits with Genentech and pays royalties outside the US) and the only one with a settled split: FY2025 net revenues of $1,486mm International against $1,306mm United States (10-K 0001551152-26-000008, key product revenues table; asset_revenue_regions), a ratio of 1.138","Elahere, AbbVie's ADC in a solid tumour, is the nearer modality but its split is a launch and not a ratio: International went $2mm in FY2024, $83mm in FY2025 against $607mm in the US (0.137), and $50mm against $161mm in the second quarter of 2026 (0.31, 10-Q 0001551152-26-000026). Emrelis, the c-Met ADC, reports no International line at all"
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the fit the camizestrant seed carries)",the oncology launch curve this book already carries
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the fit the camizestrant seed carries)",no offset: this indication's phase 3 is the one the asset's start year is dated from
ABBV,Telisotuzumab Adizutecan,Colorectal Neoplasms,US,base,penetration_peak_pct,,0.25,,share of the untreated pool per year,"a share of the pool above, set against what the molecule has to displace","a quarter of the untreated pool a year. The comparator, trifluridine/tipiracil with bevacizumab, gives a median progression-free survival of 5.6 months (SUNLIGHT, as Sharma et al. cite it) and Temab-A alone gave 4.6, so the case rests on the combination reading out. What it displaces is thin: in the Pan et al. Flatiron abstract regorafenib, trifluridine/tipiracil with or without bevacizumab and fruquintinib together took 29% of third lines, the rest being rechallenged chemotherapy. The identity carries every eligible patient onto therapy in time: with the lung indication below, about $2.2bn in the US at the plateau (of $4.8bn in total), against $877mm of US sales in FY2025 for Trodelvy, the ADC priced here (asset_revenue_regions), so read the plateau as a ceiling"
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,prevalence,,192650,,patients,"226,650 new US lung cancers in 2025 (SEER), about 85% of them non-small cell, the pool the volrustomig and sacituzumab tirumotecan seeds use",the annual diagnosed population
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,incidence,,192650,,patients a year,lung cancer incidence is the pool: diagnosed and treated each year rather than accumulated,
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,eligible_pct,,0.0508,,share of the pool,"the sacituzumab tirumotecan seed's post-TKI funnel, reused by name: 55% advanced or metastatic at presentation (the volrustomig seed); 15.2% EGFR-mutated among tested US patients with advanced NSCLC (Subramanian et al., Lung Cancer 2025, doi:10.1016/j.lungcan.2025.108412); and 60.6% going on to a second line after first-line osimertinib (Kodama et al., Thorac Cancer 2025, doi:10.1111/1759-7714.70192). 0.55 x 0.152 x 0.606 = 0.0508, about 9,800 patients a year","NCT07155187 (phase 2/3, Temab-A alone or with osimertinib against standard of care) enrols non-squamous EGFR-mutated NSCLC after one third-generation EGFR TKI and no more than one line, which is this population. Kodama's cohort is Japanese. The first-line osimertinib combination (NCT07005102, December 2031) would move it earlier and is not in this number"
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,exus_multiple,,1.1378,,x US,"Venclexta, AbbVie's own oncology medicine, booked in AbbVie's net revenues in both regions (it shares US profits with Genentech and pays royalties outside the US) and the only one with a settled split: FY2025 net revenues of $1,486mm International against $1,306mm United States (10-K 0001551152-26-000008, key product revenues table; asset_revenue_regions), a ratio of 1.138","Elahere, AbbVie's ADC in a solid tumour, is the nearer modality but its split is a launch and not a ratio: International went $2mm in FY2024, $83mm in FY2025 against $607mm in the US (0.137), and $50mm against $161mm in the second quarter of 2026 (0.31, 10-Q 0001551152-26-000026). Emrelis, the c-Met ADC, reports no International line at all"
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the fit the camizestrant seed carries)",the oncology launch curve this book already carries
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_midpoint_year,,3.2,,years from the forecast start,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the fit the camizestrant seed carries), moved one year later: NCT07155187's primary completion in September 2030 puts this launch in 2032, a year after the asset's colorectal start","the lung trial is a phase 2/3, so its phase 3 part may complete later than the posted date"
ABBV,Telisotuzumab Adizutecan,"Carcinoma, Non-Small-Cell Lung",US,base,penetration_peak_pct,,0.2,,share of the untreated pool per year,"a share of the pool above, set against what the molecule has to displace","a fifth of the untreated pool a year. It arrives in a line others reach first: sacituzumab tirumotecan's TroFuse-004 and TroFuse-009 after a TKI complete in May 2027 and August 2028 (the sacituzumab tirumotecan seed), and that seed already argues a shared line with amivantamab and chemotherapy. Temab-A has no published lung median to argue a larger share with"
ABBV,Telisotuzumab Adizutecan,,US,base,cogs_pct,,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,sga_pct,,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,rd_pct,,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,other_costs_pct,,-0.073549,,share of revenue,"derived and found to be nil: AbbVie generated $17,816mm of free cash flow on $61,160mm of revenue in FY2025, a 29.13% margin, against the 28.95% its cost of sales, SG&A and R&D leave. The two reconcile to within a fifth of a point, which is why this is zero rather than absent: the check was run and it found nothing to charge. Restated before interest: ABBV paid $3,002mm of interest inside operating cash flow over 2025, 4.91% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so adding it back only widens a gap the filed lines already leave, and the charge stays nil. Restated at replacement capex: ABBV spent $1,214mm on plant over 2025 against $762mm of plant depreciation, 0.74% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 32.46% pre-tax margin where the cash over 2025 supports 38.40%, so the charge rebuilds at -5.94%. It was held at nil, but ABBV books $7,377mm of non-cash amortisation of acquired intangibles inside cost of sales in FY2025 (0001551152-26-000008), 12.06% of revenue, so the charge takes the rebuilt figure: -5.94%. Restated without working capital build: over 2025 ABBV's cash flow statement shows receivables up $1,490mm, inventories up $234mm, payables and accrued liabilities up $951mm, a working capital build of $773mm, 1.26% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -5.94% to -7.35%.","AbbVie books its amortisation of acquired intangibles inside cost of sales, $7,377mm of it, which is why its 29.8% cost of sales is so far above Pfizer's 25.7% and why the same test that charged Pfizer 22% charges AbbVie nothing. The older windows would imply a credit, not a cost: 33.6% over three years and 36.3% over five, both above the model, because they carry peak Humira. A backward window cannot be used to charge a company whose margin is falling"
ABBV,Telisotuzumab Adizutecan,,US,base,tax_rate,,0.1081,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"ABBV's own, as every ABBV asset carries"
ABBV,Telisotuzumab Adizutecan,,US,base,beta,,0.53,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.29 raw)","ABBV's own, as every ABBV asset carries"
