# AbbVie revenue that no asset on file carries.
#
# Ten lines from the FY2025 10-K net revenues table (0001551152-26-000008) with no AbbVie
# asset: five named products and five residuals. With the asset seeds beside them
# the book covers the $61,160mm AbbVie reported, once Botox is rebased to carry
# Botox Therapeutic's $3,769mm alongside Botox Cosmetic.
#
# AbbVie changed what it prints in 2026, and it decides how four of these lines
# are grown. From the first quarter of 2026 the 10-Q and the results exhibit no
# longer show Duodopa or the Eye Care products. Duodopa is folded into Other
# Neuroscience: the restated first half of 2025 is $307mm, which is the $193mm of
# Duodopa and $114mm of Other Neuroscience the 2025 results exhibit printed
# (0001551152-25-000036). Ozurdex, Lumigan/Ganfort, Alphagan/Combigan and Other Eye
# Care are folded into All other: the restated first half of 2025 is $2,370mm,
# the $1,020mm of Eye Care plus the $1,350mm left after every named product in
# that exhibit.
#
# So Duodopa and Other Eye Care have no 2026 figure at all, and Other Neuroscience
# and All other have one that covers more products than their FY2025 base. All
# four are grown at FY2025 over FY2024 from the 10-K, and the rate on the restated
# basis sits in the note beside each for comparison. The terminal will not get
# separate actuals for Duodopa or Other Eye Care again, which argues for merging
# them into the lines AbbVie now prints.
#
# Imbruvica and Epkinly are carried as AbbVie reports them. Imbruvica is US
# product revenue plus collaboration revenue, AbbVie's 50% share of profit
# outside the US. Epkinly is profit sharing in the US and product revenue plus
# profit sharing abroad. Both are the revenue AbbVie books, so neither is grossed
# up. On pricing, the 10-K says CMS "selected Imbruvica as one of 10 medicines
# subject to government-set prices in Medicare Part D beginning in 2026."
#
# Other Oncology is the line to look at first. It began in 2025, and the anchor
# rule turns $123mm of implied 2026 revenue on a $33mm base into +272.7%, which
# compounds to about $3,334mm by 2030. AbbVie does not name what the line holds.
#
# Loss of exclusivity. No line carries loe_year. AbbVie states no US date for
# Imbruvica, Elahere, Epkinly, Juvederm Collection or Duodopa in the FY2025 10-K
# or in either 2026 10-Q (0001551152-26-000017, 0001551152-26-000026). Its patent
# discussion dates Skyrizi and Rinvoq only and then says: "AbbVie believes that
# no other single patent, license, trademark (or related group of patents,
# licenses, or trademarks), is material in relation to the company's business as
# a whole." The residual lines take none by design. The line loader does not
# accept the key in any case: loe_year is not in company_lines.KEYS.
#
# Margins and the discount rate are AbbVie's own, copied unchanged from the
# Ubrelvy seed, so every AbbVie asset and line carries the same company rows.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,line,scenario,key,value,text_value,unit,source,note
ABBV,Imbruvica,base,base_revenue,2869,,mm USD,"AbbVie FY2025 10-K (0001551152-26-000008), MD&A net revenues table: Imbruvica United States $2,048mm plus collaboration revenues of $821mm, total $2,869mm in FY2025, against $3,347mm in FY2024","as AbbVie reports it: US product revenue plus collaboration revenue, which the 10-K describes as AbbVie's 50% share of Imbruvica profit outside the United States"
ABBV,Imbruvica,base,revenue_growth_pct,-0.249913,,"annual, near term","the 2026 the filed quarters imply against the FY2025 reported 2,869mm: the first half of 2026 as reported, 1,088mm, and the second half at the second quarter's pace, 532mm twice, 2,152mm. AbbVie 10-Q for the quarter to 2026-06-30 (0001551152-26-000026), MD&A net revenues table, Imbruvica; the same figures in the results exhibit (8-K 0001551152-26-000023, filed 2026-07-31)",the book's 2026 anchor convention; the rate fades to nought over five years
ABBV,Imbruvica,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
ABBV,Imbruvica,base,growth_fade_years,5,,years,"convention: a recent rate describes next year, not the decade after it",
ABBV,Imbruvica,base,forecast_start_year,2026,,year,the year after the last reported full year,
ABBV,Imbruvica,base,forecast_years,10,,years,"the convention for a line: it carries no loss of exclusivity, so there is no cliff to run past",AbbVie states no US date for this line
ABBV,Imbruvica,base,cogs_pct,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Imbruvica,base,sga_pct,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Imbruvica,base,rd_pct,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Imbruvica,base,tax_rate,0.1081,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","ABBV's own, as every ABBV asset carries"
ABBV,Imbruvica,base,risk_free,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","ABBV's own, as every ABBV asset carries"
ABBV,Imbruvica,base,erp,0.05,,,Damodaran US ERP estimate,"ABBV's own, as every ABBV asset carries"
