# vepdegestrant (PFE).
# Vepdegestrant (ARV-471, Veppanu) is an oral PROTAC estrogen receptor degrader co-developed by Arvinas and Pfizer. The FDA approved it on 1 May 2026 for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer after endocrine therapy, on VERITAC-2 (NCT05654623): median PFS 5.0 versus 2.1 months against fulvestrant in the 270 ESR1-mutated patients, HR 0.58 (Campone et al., N Engl J Med 2025). In May 2026 Arvinas and Pfizer licensed exclusive global rights to Rigel, which launched it in August 2026, so Pfizer now holds half of a mid-teens to mid-20s royalty, not the product's sales. Price anchor: Rigel's published list price of $29,400 per 30-day supply. Uptake anchor: Truqap's first full year, 2,247 Part D beneficiaries in 2024 in the analogous biomarker-selected second-line pool.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from pfe_abrysvo.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,vepdegestrant,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,other_costs_pct,,0.126603,,share of revenue,"derived: Pfizer generated $23,703mm of free cash flow on $185,759mm of revenue over 2023, 2024 and 2025, a 12.76% margin, against the 33.8% its cost of sales, SG&A and R&D leave. The 2021 and 2022 COVID years are excluded because a 36% margin on a vaccine windfall is not what this company earns. Restated before interest: PFE paid $8,181mm of interest inside operating cash flow over 2023 to 2025, 4.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 22.18% to 17.77%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Restated without one-off cash: PFE's free cash flow over 2023 to 2025 carried $1,350mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $63mm of legal settlements; $4,400mm of US transition tax (2023 instalment 1,000mm; 2024 instalment 1,300mm; 2025 instalment 2,100mm). None recurs, so the charge falls from 17.77% to 14.52%. Restated without working capital build: over 2023 to 2025 PFE's cash flow statement shows receivables up $25mm, inventories up $1,462mm, payables down $1,792mm, a working capital build of $3,279mm, 1.77% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 14.52% to 12.66%.","amortisation of acquired intangibles above all, then restructuring and the rest. Pfizer bought Seagen and its filed expense lines do not carry what that cost. Without this row the model values the company at nearly three times the cash it makes"
PFE,vepdegestrant,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,vepdegestrant,,US,base,therapy_mode,,,chronic,,Veppanu label (accessdata.fda.gov/drugsatfda_docs/label/2026/219835Orig1s000lbl.pdf): 200 mg orally once daily until progression,"Oncology treated to progression, so chronic by the house definition"
PFE,vepdegestrant,,US,base,list_price_per_patient,,0.3577,,mm USD per patient-year,"Rigel press release, 11 August 2026, announcing availability of Veppanu (via stocktitan.net/news/RIGL/rigel-announces-availability-of-veppanutm-vepdegestrant-for-patients-6tdsxvwtdw59.html): $29,400 per 30-day supply at 200 mg daily. $29,400 x 365/30 = $357,700","A named manufacturer list price, which the brief ranks above the CMS convention. No CMS row exists for Veppanu (launched 2026) or for Orserdu, the closest marketed comparator. Cross-check: Truqap $81,962 and Piqray $93,256 per 2024 Part D beneficiary (lookup.py demand), which are part-year gross spends and not annual prices. The case against: an annualised list price with a price-specific gross-to-net sits on a different basis from most seeds, which use the CMS convention"
PFE,vepdegestrant,,US,base,gross_to_net_pct,,0.23,,share taken off list,"Selected drugs, therapeutic alternatives, and price benchmarks for IPAY 2027 Medicare drug price negotiation (PMC12467749): estimated rebates of 4% to 23% off list for the oral oncology drugs enzalutamide, pomalidomide, palbociclib and acalabrutinib","Judgement: the top of that range. The house 0.5 is calibrated on CMS per-beneficiary spend, which bundles part-year use with rebates, and does not apply to an annualised WAC. The top of the range is taken because the IRA Part D redesign adds a 10% to 20% manufacturer discount from 2025, and oral oncology patients reach the catastrophic phase quickly. Direction checked: 0.23 off list, so net is about $275,400 per patient-year. The case against: I read the range from a search summary and not the full text; Rigel does not disclose a gross-to-net share for its products, so this is not measured on this drug"
PFE,vepdegestrant,,US,base,discontinuation_pct,,0.8105,,share of treated stock stopping per year,"VERITAC-2 (Campone et al., N Engl J Med 2025; ASCO 2025): median PFS 5.0 months (95% CI 3.7-7.4) on vepdegestrant in the 270 ESR1-mutated patients, the labelled population","Constant hazard from a median: 1 - 0.5^(12/5.0) = 0.811, the form the ABBV-1480 seed uses (the brief's 1 - exp(-12/5) gives 0.909). The case against: median PFS is short and long-tail responders stay on longer than a constant hazard implies; median duration of treatment was not found"
