# Risvutatug Rezetecan (GSK).
# Risvutatug rezetecan (Ris-Rez, GSK5764227, HS-20093) is a B7-H3 ADC carrying a topoisomerase I payload, licensed from Hansoh in 2023 for the world outside Greater China. The lead pivotal trial is EMBOLD SCLC-301 (NCT07099898, 420 patients, OS primary endpoint) in relapsed ES-SCLC. It completes 2027-11-05, and GSK expects pivotal data in 2027 (6-K 0001654954-26-008321). The asset has FDA Breakthrough designation. Hansoh's China phase 3 ARTEMIS-008 beat topotecan: OS 18.5 vs 10.3 months (HR 0.46), PFS 7.2 vs 3.0 months. The context file lists this trial under 'Lung Neoplasms' at Phase 1/2, but the book's trials table carries it as Phase 3 under asset id 2095 ('Ris-Rez'), so Lung Neoplasms is modelled as the lead. Price anchor: Trodelvy's CMS Part B figure of $82,521 per beneficiary, the house ADC convention, net $77,850 after the Part B 6% add-on comes off (gross_to_net corrected by the second reader from 0.5 to 0.056604). Uptake anchor: lurbinectedin's measured 26.5% of US second-line ES-SCLC (Sankar et al. 2025, Flatiron). The ramp is the book's Enhertu fit. Second reader: the context file does not list NCT07099898 at all; its 'Lung Neoplasms' row is Phase 1/2 from the ivonescimab combination NCT07602855, and the SCLC Phase 3 sits on book asset 2095 'Ris-Rez', a duplicate of this molecule (asset 2119; the 6-K names it 'risvutatug rezetecan (Ris-Rez)'). Merge or alias the two before building, or the engine will risk-adjust this Lung Neoplasms block at Phase 1/2. The book's Lung Neoplasms prevalence (661,853) is not equal to its incidence (229,410), so the build must also set untreated_carryover_pct = 0 for this indication (backend/forecast.py) or the living stock opens as a pool.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from gsk_anoro_ellipta.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GSK,Risvutatug Rezetecan,,US,base,beta,,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,Risvutatug Rezetecan,,US,base,cogs_pct,,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Risvutatug Rezetecan,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Risvutatug Rezetecan,,US,base,debt_weight,,0.194899,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
GSK,Risvutatug Rezetecan,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,Risvutatug Rezetecan,,US,base,other_costs_pct,,-0.024734,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.44% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Risvutatug Rezetecan,,US,base,rd_pct,,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Risvutatug Rezetecan,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Risvutatug Rezetecan,,US,base,sga_pct,,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Risvutatug Rezetecan,,US,base,tax_rate,,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
