# Inlexzo (JNJ), gemcitabine intravesical system (TAR-200), launched September 2025.
#
# Not broken out in any filing, so it is built from patients and solved to Clarivate's
# 2031 forecast. It replaces the TAR-200 pipeline model, which valued the same product.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
JNJ,Inlexzo,,US,base,therapy_mode,,,chronic,,"approved and selling, built from patients","Johnson & Johnson does not report its sales on a line of its own, so there is no revenue to anchor on and the forecast is built from patients"
JNJ,Inlexzo,,US,base,forecast_start_year,,2027,,year,"the first full year after its permanent J-code, J9183, took effect on April 1, 2026","2026, its launch year, is left out, as it is for every launch anchored on a run rate"
JNJ,Inlexzo,,US,base,forecast_years,,15,,years,long enough to run past the loss of exclusivity and through the erosion tail,
JNJ,Inlexzo,,US,base,pos,,1.0,,,"approved: FDA approval 2025-09-09 for BCG-unresponsive non-muscle invasive bladder cancer with carcinoma in situ (Drugs@FDA, NDA 219683)","stated, because no development phase applies"
JNJ,Inlexzo,,US,base,list_price_per_patient,,0.242305,,mm USD per year,"comparator: Anktiva (nogapendekin alfa), the other recent launch in BCG-unresponsive NMIBC with carcinoma in situ, cost Medicare Part B $242,305 per beneficiary in 2025 (CMS Medicare Part B spending by drug, quarterly file)",no list price for Inlexzo is published
JNJ,Inlexzo,,US,base,gross_to_net_pct,,0.056604,,share,"Part B pays 106% of the average sales price (Social Security Act section 1847A), so the price net of the add-on is the spend over 1.06",
JNJ,Inlexzo,,US,base,discontinuation_pct,,0.585,,share of the stock per year,"the label: 'The median duration of exposure to INLEXZO was 41 weeks (range: 1 to 108 weeks)', so half stop within 41 weeks and the annual rate is 1 - 0.5^(52/41); the course runs at most 14 doses over 24 months",
JNJ,Inlexzo,Non-Muscle Invasive Bladder Neoplasms,US,base,prevalence,,25000,,patients,"'the high-risk BCG-unresponsive NMIBC segment may represent up to 25,000 addressable patients' (CG Oncology 10-K for FY2025, 0001193125-26-079498), carcinoma in situ and papillary together","the current label is the carcinoma in situ part, which Johnson & Johnson puts at 'roughly 3,000 patients in the US'; the forecast below assumes the papillary expansion Johnson & Johnson is running"
JNJ,Inlexzo,Non-Muscle Invasive Bladder Neoplasms,US,base,incidence,,25000,,patients per year,convention: the pool is stated equal to it and read as the patients eligible to start each year,"peak uptake below is solved to a published forecast, so the pool shapes the ramp rather than the level"
JNJ,Inlexzo,Non-Muscle Invasive Bladder Neoplasms,US,base,eligible_pct,,1.0,,share,the addressable segment as the filing states it,
