# Pneumovax 23 (MRK). $166mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients. Growth is read off Table 3, which prints this line's own quarters.
#
# Exclusivity expired before the forecast starts, so no erosion is applied: the
# decline that followed the cliff is what the growth rate measures.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Pneumovax 23,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as its own revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,Pneumovax 23,,US,base,base_revenue,,166.0,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor. Its quarters are on file from Table 3 and sum to it
MRK,Pneumovax 23,,US,base,revenue_growth_pct,,-0.368821,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales: $166mm in FY2025 against $263mm in FY2024",the years: Table 3 does not carry this line in the June quarter exhibit
MRK,Pneumovax 23,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,Pneumovax 23,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,Pneumovax 23,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,Pneumovax 23,,US,base,forecast_years,,10,,years,set to run past the 1989 loss of exclusivity and through the erosion tail,
MRK,Pneumovax 23,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies to it"
MRK,Pneumovax 23,,US,base,erosion_year1_pct,,0.0,,share lost in year one,"exclusivity expired in 1989, before the forecast starts",the cliff has already happened and the growth rate above measures what the product does after it. Eroding on top of that counts the same decline twice
MRK,Pneumovax 23,,US,base,erosion_decay_pct,,0.0,,share of the remainder lost each year,"exclusivity expired in 1989, before the forecast starts",
MRK,Pneumovax 23,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Pneumovax 23,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck asset carries"
