# Sacituzumab tirumotecan (sac-TMT, MK-2870): Merck's TROP2 ADC, licensed from Kelun-Biotech for
# everywhere outside Greater China. Built on the four indications whose phase 3 trials read out first,
# each on its own pool and launch year, priced off Trodelvy and dated from TroFuse-005's 2026 readout.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Sacituzumab Tirumotecan,,US,base,therapy_mode,,,chronic,,"dosing continues until progression in each phase 3 trial modelled (NCT06132958, NCT06074588, NCT06312176, NCT06459180)","an every-two-week or every-three-week infusion, not a single course"
MRK,Sacituzumab Tirumotecan,,US,base,list_price_per_patient,,0.082521,,mm USD,"Trodelvy, CMS Medicare Part B 2024: $272,318,588 over 3,300 beneficiaries, $82,521 a beneficiary. Trodelvy is sacituzumab govitecan, the TROP2 ADC already sold in the US and the closest comparator on file","a comparator, not a price this product has. Spending over beneficiaries counts patients treated for part of the year, so it sits below a full year of therapy"
MRK,Sacituzumab Tirumotecan,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it","Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high. The 50% the AZN seeds take is a retail Part D convention and does not fit a drug bought and billed under Part B; Merck's Keytruda seed takes no haircut at all"
MRK,Sacituzumab Tirumotecan,,US,base,discontinuation_pct,,0.6329,,share stopping a year,"OptiTROP-Lung04 (Fang et al., N Engl J Med 2026, doi:10.1056/NEJMoa2512071): median progression-free survival of 8.3 months on sac-TMT in EGFR-mutated NSCLC after a TKI, the only published phase 3 median for this molecule in an indication modelled here. At a constant hazard 0.5^(12/8.3) = 36.7% remain on therapy after a year, so 63.3% stop",therapy runs to progression. TroFuse-005's endometrial result has been announced but not published with a median
MRK,Sacituzumab Tirumotecan,,US,base,forecast_start_year,,2027,,year,"Merck 8-K exhibit 99.1 of 4 August 2026 (0001104659-26-090045): the phase 3 TroFuse-005 trial met its primary endpoints of overall survival and progression-free survival in endometrial cancer after platinum and anti-PD-1/L1 therapy. The FDA had already awarded sac-TMT a Commissioner's National Priority Voucher, which Merck says gives an opportunity to expedite review (8-K exhibit 99.1 of 3 February 2026, 0001104659-26-009495). A 2026 readout plus the time to file and launch gives a first full year in 2027","no filing, acceptance or PDUFA date is stated in the FY2025 10-K or either 2026 10-Q. The trials table still carries TroFuse-005's estimated primary completion of January 2028, which the readout has overtaken; on the table alone the earliest completion (TroFuse-015, gastroesophageal, January 2027) would give 2028. Indications reading out later carry their own launch year in the ramp midpoint"
MRK,Sacituzumab Tirumotecan,,US,base,economics_share,,1,,share,"Merck FY2022 10-K (0001628280-23-005061), Note 4: in May 2022 Merck took an exclusive license to Kelun-Biotech's TROP2 ADC programme, including SKB-264 (MK-2870), outside Chinese mainland, Hong Kong, Macau and Taiwan, paying tiered royalties from a mid-single-digit to a low-double-digit rate on net sales and milestones of up to $90mm developmental, $290mm on first commercial sales and $780mm sales-based. Merck FY2025 10-K (0000310158-26-000063), Note 3: Blackstone funds up to $700mm of 2026 development and, on a US approval in first-line TNBC (TroFuse-011), receives low-to-mid single-digit royalties on net sales in Merck's territories, with no rights to sac-TMT","Merck holds all the economics in its territory and pays royalties, so the share is 1.0. The Kelun-Biotech royalty and the contingent Blackstone royalty are costs this share does not charge, and the ex-US multiple below includes China, which is not Merck's"
MRK,Sacituzumab Tirumotecan,,US,base,pos,,0.7354,,probability,"TroFuse-005 met its primary endpoints of overall and progression-free survival (Merck 8-K exhibit 99.1 of 4 August 2026, 0001104659-26-090045), so endometrial takes the oncology NDA/BLA-to-approval rate of 92.0% (BIO/Informa/QLS, Clinical Development Success Rates 2011-2020). The other three indications are still in phase 3 and keep the book's 65% default. Weighted by each indication's unrisked NPV in this build (endometrial $6,580mm, NSCLC $4,321mm, breast $8,823mm, cervical $1,079mm): 0.316 x 0.92 + 0.684 x 0.65 = 0.735","the same as risking each indication on its own, because NPV adds across them. The weights move if the pool or price inputs are edited, and the 92% assumes a filing follows a positive overall survival result, which Merck has not yet stated"
MRK,Sacituzumab Tirumotecan,Endometrial Neoplasms,US,base,prevalence,,26000,,patients,"69,120 US endometrial cancer diagnoses a year (SEER), about a quarter at stage III or IV and about a sixth of the early-stage majority later recurring: the 26,000 the Jemperli and puxitatug seeds use",primary advanced or recurrent disease in a year; it turns over rather than accumulates
MRK,Sacituzumab Tirumotecan,Endometrial Neoplasms,US,base,incidence,,26000,,patients a year,the same annual inflow the Jemperli and puxitatug seeds use,
MRK,Sacituzumab Tirumotecan,Endometrial Neoplasms,US,base,eligible_pct,,0.53,,share of the pool,"Coleman et al., J Health Econ Outcomes Res 2023 (doi:10.36469/001c.87853): of 1,961 US patients with advanced or recurrent endometrial cancer who started a first line, only 53% went on to a second. TroFuse-005 (NCT06132958) enrols after platinum and anti-PD-1/L1 therapy, which is that second line","about 13,800 women. Applied to the whole 26,000, so it assumes every advanced or recurrent patient starts a first line; no US share for that was found, and the number is an upper bound on it"
