# Lipfendra (MRK). Enlicitide decanoate, the first oral PCSK9 inhibitor, approved by the FDA in July 2026 for adults with hypercholesterolemia; Merck has reported no sales for it yet, so there is no quarter to anchor a marketed build on.
# Built from patients: adults with clinical ASCVD not at an LDL-C of 70, priced at Repatha's realised Medicare cost, with persistence from US claims for the oral add-on ezetimibe and the uptake curve this book already reads off Leqvio.
# Rebuild it as a marketed launch once Merck prints Lipfendra in Table 3, which the third-quarter 2026 results should be the first to do.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Lipfendra,,US,base,therapy_mode,,,chronic,,"a once-daily tablet taken for life as an adjunct to diet and exercise, per the July 2026 FDA approval",continuing therapy
MRK,Lipfendra,,US,base,pos,,1.0,,,"approved: Merck's Q2 2026 10-Q (0000310158-26-000212) states that in July 2026 the FDA approved Lipfendra tablets to reduce LDL-C in adults with hypercholesterolemia, including heterozygous familial hypercholesterolemia, on CORALreef Lipids and CORALreef HeFH; the approvals table carries NDA220848 approved 2026-07-15","stated, because the Phase 3 on file is the outcomes trial and the paediatric study, not the approval"
MRK,Lipfendra,,US,base,list_price_per_patient,,0.00447,,mm USD,"the price is Repatha's $4,470 a Medicare beneficiary: Repatha SureClick, CMS Part D 2024, $1,709,589,708 of spending over 382,461 beneficiaries (data.cms.gov, Medicare Part D Spending by Drug). The injectable PCSK9 inhibitor this pill is priced against, and the Part D route an oral takes","a comparator, not a price this product has. The check is Lipfendra's own list price: $10.50 a tablet, $315 for 30 days, about $3,833 a year, per a Merck spokesperson quoted by Healthline (July 2026), 14% under this figure. Merck's Q2 2026 10-Q adds that Lipfendra joins its direct-to-patient programme under the MFN agreement"
MRK,Lipfendra,,US,base,gross_to_net_pct,,0.5,,share off list,"convention, measured: on the nine cycle-one IRA drugs that carry a demand row, a gross CMS figure halved lands at a median 96% of CMS's own negotiated net annual price, spread 65% on Imbruvica to 167% on Januvia, so the gross basis and the part-year basis cancel and this is sound for a book and loose for one asset (backend/gross_to_net.py). Manufacturer rebates in a competitive Part D retail class, as every CMS-priced seed in this book takes it","the visible half of the price estimate, and the one with no filing behind it"
MRK,Lipfendra,,US,base,discontinuation_pct,,0.43,,share stopping a year,"US claims for the closest oral add-on, ezetimibe, in patients with ASCVD: 35.5% of commercial and 46.1% of Medicare patients discontinued by 12 months (Navar AM et al., Lipid management in US commercial and Medicare enrollees with ASCVD, Am J Cardiol 2025, doi 10.1016/j.amjcard.2024.12.029). Weighted by the study's own ezetimibe users (2.7% of 945,704 commercial and 1.7% of 3,659,011 Medicare patients), 43.0%","the same study has the injectable PCSK9 inhibitors at 41.5% commercial and 55.8% Medicare, and the 12.1% this book's Lp(a) seeds take from the JACC Advances 2026 meta-analysis (doi 10.1016/j.jacadv.2026.102733) pools observational studies of the injectables, not a US primary-care pill; the same meta-analysis puts 12-month persistence at 81.8%. A daily pill in US primary care sits with ezetimibe. The engine applies a first-year rate to the whole stock every year, which understates the stock rather than flattering it"
MRK,Lipfendra,,US,base,forecast_start_year,,2026,,year,"the launch year: FDA approval in July 2026, per Merck's Q2 2026 10-Q","the first year is a half year of a launch, which the curve's low opening share carries"
MRK,Lipfendra,,US,base,forecast_years,,21,,years,"run six years past the 2040 loss of exclusivity on file, the drug substance patent that matches the 2040 compound patent in Merck's FY2025 10-K Phase 3 patent table (0000310158-26-000063)","set by hand because the asset is flagged marketed on file, so the engine does not stretch the window itself. The 10-K notes a patent term extension of up to five years may follow"
MRK,Lipfendra,,US,base,economics_share,,1.0,,share,"Merck holds all rights: its FY2025 10-K lists MK-0616 in the Phase 3 patent table without the collaboration footnote it puts on its partnered assets, and no partner, royalty or milestone for enlicitide appears in the 10-K or the 2026 10-Qs",
MRK,Lipfendra,Hypercholesterolemia,US,base,prevalence,,23761066,,patients,"8.9% of US adults have clinical ASCVD (American Heart Association 2025 statistics), applied to the US resident population 18+, 266,978,268 (Census Vintage 2024); the same ASCVD pool this book's olpasiran and lepodisiran seeds use","the label reads adults with hypercholesterolemia, but the CORALreef Lipids population and the payer case are established or high-risk ASCVD. High-risk primary prevention and familial hypercholesterolemia without ASCVD are left out, so the pool is a floor"
MRK,Lipfendra,Hypercholesterolemia,US,base,eligible_pct,,0.80,,share of the pool,"of 381,160 US ASCVD patients with an LDL-C result, fewer than 20% reached LDL-C below 70 mg/dL (Navar AM et al., Am J Cardiol 2025, commercial and Medicare claims)","more than 80% are above the threshold an add-on is prescribed against, so 80% is the study's own bound"
