# ABBV-RGX-314 (ABBV): surabgene lomparvovec (sura-vec), REGENXBIO's AAV8 gene therapy encoding an anti-VEGF antibody fragment, given once by subretinal surgery in two registration trials for wet AMD (ATMOSPHERE NCT04704921 against ranibizumab, ASCENT NCT05407636 against aflibercept).
# Built on the US wet AMD patients receiving anti-VEGF injections, priced at five years of Eylea's realised Medicare Part B price, billed once per patient through chronic mode, on Casgevy's one-time curve with a judged peak, and held at AbbVie's blended share: half the US profit, all ex-US revenue less a royalty to REGENXBIO.
# Diabetic retinopathy (suprachoroidal, Phase 2b/3 NAAVIGATE) sits on a separate record, asset 1651, and is Phase 2 on this one, so it is not modelled.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,ABBV-RGX-314,,US,base,therapy_mode,,,chronic,,"a single subretinal administration billed once, run as chronic with every patient stopping inside the year (discontinuation 1.0 below), which the engine builds exactly as one_time: the year's new patients times the price. Both registration trials give ABBV-RGX-314 'via subretinal delivery one time' (NCT04704921, NCT05407636)","chosen over one_time because one_time needs a cost of goods per patient and no filing gives one: REGENXBIO leads manufacturing for clinical and US commercial supply with costs allocated under the collaboration (REGENXBIO Q2 2026 10-Q, 0001193125-26-336725). Cost of sales therefore rides as AbbVie's filed share of revenue, as vrtx_zimislecel.csv does for a cell therapy"
ABBV,ABBV-RGX-314,,US,base,discontinuation_pct,,1.0,,share stopping a year,"given once: each treatment arm of the registration trials is a one-time subretinal dose against injections every 28 days (ranibizumab) or every 8 weeks (aflibercept) in the control arms (NCT04704921, NCT05407636)","nobody carries into the next year. A second eye treated later, which the fellow eye sub-study tests (REGENXBIO FY2025 10-K, 0001193125-26-094013), would add revenue this leaves out; about a quarter of wet AMD patients have both eyes affected (Almony A et al., J Manag Care Spec Pharm 2021;27(9):1260-1272: 74.7% unilateral)"
ABBV,ABBV-RGX-314,,US,base,net_price_per_patient,,0.038044,,mm USD per patient,"the price is five years of Eylea at its realised Medicare price, the drug ASCENT is run against: $8,065 a Part B beneficiary in 2024 ($2,365.4mm over 293,280 beneficiaries, drug_demand), times five, over 1.06 because Part B pays 106% of average sales price and ASP is already net of manufacturer discounts (Social Security Act section 1847A, as mrk_mk_8748.csv takes it). Five years is the durability evidenced: REGENXBIO reported stable to improved vision and fewer anti-VEGF injections through five years in Phase I/IIa cohorts dosed like the registration trials (Q2 2026 10-Q, 0001193125-26-336725)","a comparator, not a price this product has, and set by the injections it displaces. The one published valuation of this class brackets it: Berkowitz ST, Patel S, Ophthalmology Retina 2021;5(4):357-364 put the present value of lifelong injections a one-time anti-VEGF gene therapy would replace at $208,421 against aflibercept and $17,379 against bevacizumab, and argue bevacizumab should be the base case. Eylea HD is $9,972 and Vabysmo $11,120 a beneficiary on the same basis, and aflibercept biosimilars will pull the reference down"
ABBV,ABBV-RGX-314,,US,base,forecast_start_year,,2028,,year,"filing-stated: REGENXBIO's Q2 2026 10-Q (0001193125-26-336725) says enrollment in ATMOSPHERE and ASCENT completed in October 2025, topline data are expected in the fourth quarter of 2026 with AbbVie, and global regulatory submissions are expected in 2027. The registry puts primary completion at 2026-10 (NCT05407636) and 2026-12 (NCT04704921). A 2027 submission and a first year of revenue in 2028 is the interval the book allows a primary completion late in the year before (mrk_tulisokibart.csv, vrtx_zimislecel.csv)","the row most likely to move, and later rather than earlier: a gene therapy BLA carries a manufacturing inspection, and a submission late in 2027 would leave 2028 with little revenue. AbbVie's own FY2025 10-K and 2026 10-Qs do not name the programme"
ABBV,ABBV-RGX-314,,US,base,economics_share,,0.5234,,share of the asset,"blended from the terms both parties file. AbbVie FY2023 10-K (0001551152-24-000011) and FY2021 10-K (0001551152-22-000007): REGENXBIO and AbbVie share equally in pre-tax profits from US net revenues, and AbbVie pays REGENXBIO tiered royalties outside the US. REGENXBIO Q2 2026 10-Q (0001193125-26-336725) confirms the equal US split in the agreement as amended in August 2025 and puts the ex-US royalty at mid-teens to low twenties percent of net sales. Taking the royalty at 18%, between 15% and 21%, on the 38.40% pre-tax margin AbbVie's cost rows leave (cost of sales 29.76%, SG&A 22.91%, R&D 14.87%, other costs -5.94%), AbbVie keeps 53.1% of ex-US profit. Weighted by the exus_multiple below, 25.2% of revenue is US at a half share and 74.8% ex-US at 53.1%: 0.5234","0.4649 at a 21% royalty and 0.5818 at 15%. On the older nil other-costs row (a 32.46% margin) it is 0.4592. The FY2025 10-K no longer describes the collaboration. Not charged: up to $462.5mm of remaining development milestones and $820mm of sales milestones AbbVie owes REGENXBIO (same 10-Q), of which $100mm for the second diabetic retinopathy trial is outside this indication"
ABBV,ABBV-RGX-314,Wet Macular Degeneration,US,base,prevalence,,795600,,patients,"Saundankar V et al., J Manag Care Spec Pharm 2025;31(1):88-94 (Medicare Advantage claims, 2.9 million enrollees aged 65 and over): an annual wet AMD prevalence of 1.3% in 2021, applied to the 61.2 million Americans aged 65 and over in the Census Bureau's Vintage 2024 estimates (press release of 26 June 2025)","diagnosed disease with at least one claim in the year. Rein DB et al. (JAMA Ophthalmology 2022) put all late AMD, wet and geographic atrophy together, at 1.49 million aged 40 and over in 2019, which this sits inside"
ABBV,ABBV-RGX-314,Wet Macular Degeneration,US,base,eligible_pct,,0.44,,share of the pool,"Almony A et al., J Manag Care Spec Pharm 2021;27(9):1260-1272 (US commercial claims, 6,076 prevalent wet AMD patients aged 50 and over): 2,671, 44.0%, received anti-VEGF injections over a year of follow-up","the injected pool, which is what both registration trials enrol: wet AMD previously treated with anti-VEGF with a meaningful response, aged 50 to 89, and pseudophakic in the study eye (NCT04704921, NCT05407636). Inactive and scarred disease sit outside it. Curtis LH et al. (Am J Ophthalmol 2012) found 72.7% of newly diagnosed Medicare patients started anti-VEGF within a year in 2008, the higher figure for a new diagnosis"
ABBV,ABBV-RGX-314,Wet Macular Degeneration,US,base,incidence,,24664,,patients a year,"the net growth of the pool, not new diagnoses: wet AMD prevalence held at 1.2% to 1.3% of enrollees aged 65 and over through 2018 to 2021 (Saundankar 2025), so the prevalent pool grows with that population, which rose 3.1% from 2023 to 2024 (Census Bureau, Vintage 2024). 3.1% of 795,600 is 24,664","the pool identity has no mortality term, and this is a population with a mean age near 80. New diagnoses run far higher, about 149,800 a year among fee-for-service Medicare beneficiaries (Stein JD et al., Am J Ophthalmol 2013;155(4):688-696: 7,490 new diagnoses in the 2009 5% sample), and feeding those in without the deaths that offset them would treble the untreated pool over the window while the observed prevalence rate stayed flat"
ABBV,ABBV-RGX-314,Wet Macular Degeneration,US,base,ramp_steepness,,1.2,,logistic k,"Casgevy's one-time curve as casgevy.csv carries it: a least-squares fit of the pool identity at k=1.2, with half of the peak three years after the first launch year, the curve vrtx_zimislecel.csv reuses for a one-time therapy given at specialist centres","the one-time, procedure-gated launch on file. Vabysmo's retina fit (k=1.685, midpoint 0.85, mrk_mk_8748.csv) is the in-office injection switch, a faster trade than eye surgery"
ABBV,ABBV-RGX-314,Wet Macular Degeneration,US,base,ramp_midpoint_year,,3,,years from the forecast start,Casgevy's one-time curve as casgevy.csv carries it: half of the peak three years after the first launch year (midpoint 2027 on a 2024 start),
