# Idvynso (MRK): doravirine and islatravir, FDA-approved in April 2026. The pipeline record
# DOR/ISL is the same product, so this seed values it once, on the approved asset.
# DOR/ISL (MRK): doravirine/islatravir, sold as Idvynso, a once-daily two-drug tablet for adults with
# HIV-1 who are virologically suppressed, approved by the FDA in April 2026. Built on CDC's suppressed
# pool, priced at Dovato and paced by Dovato's own CMS launch, with the peak set against Dovato's capture.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Idvynso,,US,base,therapy_mode,,,chronic,,"antiretroviral therapy is taken for life: Idvynso is 'a once-daily, two-drug single-tablet regimen' that replaces the current regimen (10-Q 0001628280-26-029802)",patients who change regimen leave the stock through discontinuation_pct
MRK,Idvynso,,US,base,list_price_per_patient,,0.027981,,mm USD,"the price is Dovato's $27,981 a Medicare Part D beneficiary in 2024 ($541.1mm over 19,337 beneficiaries, drug_demand), ViiV's once-daily two-drug single-tablet regimen for the same switch population and the closest comparator on file","a comparator, not a price this product has. Merck's own doravirine lines run lower per beneficiary (Delstrigo $23,220, Pifeltro $16,481) and Biktarvy higher ($37,466)"
MRK,Idvynso,,US,base,gross_to_net_pct,,0.5,,share off list,analyst convention: manufacturer rebates in a competitive class,
MRK,Idvynso,,US,base,discontinuation_pct,,0.162,,share stopping a year,"OPERA cohort, Pierone G et al., AIDS Research and Therapy 2024;21:76: virologically suppressed US adults who switched to dolutegravir/lamivudine discontinued it at 17.69 per 100 person-years, which as a constant hazard is 16.2% of the stock a year","the same switch population and the same two-drug single-tablet form. Bictegravir/emtricitabine/tenofovir alafenamide ran at 8.30 in the same study, and most discontinuations were not for virologic failure or tolerability"
MRK,Idvynso,,US,base,forecast_start_year,,2026,,year,"filing-stated approval: the FDA approved Idvynso in April 2026 (10-Q 0001628280-26-029802) against a PDUFA date of April 28, 2026 (10-K 0000310158-26-000063). Japan approved it in March 2026 and the EU review is open (10-Q 0000310158-26-000212)","2026 is a part year, which the low first value of the logistic carries"
MRK,Idvynso,,US,base,economics_share,,1.0,,share of the asset,"Merck's FY2025 10-K (0000310158-26-000063): the pipeline chart gives MK-8591A (doravirine+islatravir) no 'Being developed in a collaboration' footnote, where it gives one to MK-8591D, the islatravir and lenacapavir regimen partnered with Gilead, and Note 4 names no partner for it. Doravirine and islatravir are both Merck molecules",all of it; no royalty is disclosed
MRK,Idvynso,,US,base,pos,,1.0,,,approved: FDA April 2026 and Japan March 2026 (10-Q 0001628280-26-029802),"stated because no development risk remains in the US. The EU review is still open, and the ex-US multiple below assumes it succeeds"
MRK,Idvynso,HIV Infections,US,base,prevalence,,1103895,,patients,"CDC, Monitoring selected national HIV prevention and care objectives by using HIV surveillance data, 2024 (published May 18, 2026): 1,103,895 persons aged 13 and older with HIV diagnosed by year-end 2023 and alive at year-end 2024",people living with diagnosed HIV
MRK,Idvynso,HIV Infections,US,base,eligible_pct,,0.685,,share of the pool,the same CDC report: 68.5% of people living with diagnosed HIV had viral suppression during 2024. The label covers adults virologically suppressed on a stable regimen (10-Q 0001628280-26-029802),"an upper bound: the label also excludes any history of virologic failure and known doravirine resistance, and no national figure for either is on file"
MRK,Idvynso,HIV Infections,US,base,incidence,,38434,,patients a year,"the same CDC report: 38,434 persons aged 13 and older received an HIV diagnosis in 2024","new diagnoses enter the suppressed pool once treated: 71.1% reached viral suppression within six months of diagnosis in 2024, and the engine filters them by the share above"
