# Balcinrenone/dapagliflozin (AZN).
# A once-daily fixed-dose capsule of balcinrenone (AZD9977), AstraZeneca's own mineralocorticoid receptor modulator, with dapagliflozin 10 mg. The lead Phase 3 is BalanceD-HF (NCT06307652): 3,850 patients with symptomatic heart failure, a heart failure event in the prior 6 months, eGFR 20 to under 60, NT-proBNP above 300 and no MRA, randomised to balcinrenone/dapagliflozin 15/10 mg or 40/10 mg against dapagliflozin 10 mg alone; primary completion 2027-04-16. BalanceD-CKD (NCT07624305, primary completion 2030-07-01) is not modelled. Price anchor: Kerendia (finerenone), the only non-steroidal MR agent on the US market and labelled in heart failure since July 2025, at $4,839 per Medicare Part D beneficiary in 2025. One brand price counts what balcinrenone adds: the book's Farxiga line is generic in the US from 2026 and in Europe from 2028, so the dapagliflozin in the capsule is not counted twice. Uptake anchor: Verquvo, the last branded add-on launched into the same post-event heart failure patients, fitted on the engine's own path to its 2021 to 2025 Part D beneficiaries, 0.90% of its untreated eligible pool a year at peak; Kerendia's 2022 to 2025 launch gives 0.97% on the same fit. Heart failure incidence is stated at nil because the book's epidemiology.csv row carries none. AstraZeneca's own $3-5bn non-risk-adjusted peak year revenue (Investor Day 2024) assumes a far broader pool and both indications; it is the case for higher, not an independent forecast.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Verified 2026-09-26 against main's settled rules, every source reopened: the price moved to the 2025 CMS basis, heart failure incidence set to the book's (nil), uptake re-solved on the engine's own path rather than on a stock curve, and two citations corrected (the asset id and the claims dataset).
# Company-level rows copied from azn_airsupra.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AZN,Balcinrenone/dapagliflozin,,US,base,beta,,0.56,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.34 raw)",
AZN,Balcinrenone/dapagliflozin,,US,base,cogs_pct,,0.181,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Balcinrenone/dapagliflozin,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,Balcinrenone/dapagliflozin,,US,base,debt_weight,,0.054328,,,"filed TotalDebt of 29,622mm USD at 2025-12-31 over debt plus market capitalisation",
AZN,Balcinrenone/dapagliflozin,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
AZN,Balcinrenone/dapagliflozin,,US,base,other_costs_pct,,-0.047173,,share of revenue,"derived: AZN turned 19.35% of revenue into free cash over 2023 to 2025 against the 20.5% its filed expense lines leave. Restated before interest: AZN paid $3,710mm of interest inside operating cash flow over 2023 to 2025, 2.34% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 1.30% to 0.00%. Restated at replacement capex: AZN spent $6,095mm on plant over 2023 to 2025 against $2,411mm of plant depreciation, 2.32% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated with selling costs: SG&A now carries AZN's filed selling or distribution costs, 0.99% of revenue this charge was absorbing, so it falls from 0.00% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 22.75% pre-tax margin where the cash over 2023 to 2025 supports 27.47%, so the charge rebuilds at -4.72%. It was held at nil, but AZN books $4,207mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001104659-26-019130), 7.16% of revenue, so the charge takes the rebuilt figure: -4.72%. Checked without working capital build: no change in payables on file from the cash flow statement for every year, so the charge stands.","amortisation, restructuring and capital spending, none of which the filed lines carry"
AZN,Balcinrenone/dapagliflozin,,US,base,rd_pct,,0.2423,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Balcinrenone/dapagliflozin,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,Balcinrenone/dapagliflozin,,US,base,sga_pct,,0.349206,,share of revenue,"AZN FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, $19,933mm for FY2025, leaves out the $579mm of selling or distribution costs AZN reports as a line of its own, tagged as DistributionCosts (20-F 0001104659-26-019130, SEC financial statement data sets), so SG&A rises from 33.93% to 34.92% of revenue.",
AZN,Balcinrenone/dapagliflozin,,US,base,tax_rate,,0.1377,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
