# Tezspire (AZN). 1,131mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AZN,Tezspire,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
AZN,Tezspire,,US,base,base_revenue,,1131.0,,mm USD,"AZN FY2025 reported product revenue, from the annual report product axis (sec_fsds)",the anchor
AZN,Tezspire,,US,base,revenue_growth_pct,,0.653509,,"annual, near term","AZN FY2025 20-F product axis (sec_fsds), product sales plus the alliance revenue the same filing tags separately: $1,131mm in FY2025 against $684mm in FY2024","the quarter against the same quarter a year before, which is the most recent comparison this filer states"
AZN,Tezspire,,US,base,revenue_ceiling_musd,,3000,,mm USD,"about 20mm US adults have asthma and 5% to 10% of them have severe uncontrolled disease, so 1.5mm at the midpoint; roughly 45% of severe asthma is eligible for a biologic, the range across observational cohorts being 35% in the US, Australian and Canadian arms of IDEAL and 51% pooled. Tezspire cost Medicare about $29,000 a beneficiary in 2024. A fifth of the biologic-treated population at that price is roughly $4bn worldwide, of which AstraZeneca books the larger part","the one-fifth share is the analyst input. Tezspire is the fifth biologic into severe asthma and the only one approved without a phenotype or biomarker restriction, which is the argument for a share this size against four incumbents"
AZN,Tezspire,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
AZN,Tezspire,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
AZN,Tezspire,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
AZN,Tezspire,,US,base,forecast_years,,10,,years,no exclusivity on file,
AZN,Tezspire,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
AZN,Tezspire,,US,base,cogs_pct,,0.181,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Tezspire,,US,base,sga_pct,,0.3393,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Tezspire,,US,base,rd_pct,,0.2423,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Tezspire,,US,base,other_costs_pct,,0.013002,,share of revenue,derived: AZN turned 19.35% of revenue into free cash over 2023 to 2025 against the 20.5% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
AZN,Tezspire,,US,base,tax_rate,,0.1377,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
AZN,Tezspire,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
AZN,Tezspire,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
AZN,Tezspire,,US,base,beta,,0.56,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.34 raw)",
AZN,Tezspire,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
AZN,Tezspire,,US,base,debt_weight,,0.054328,,,"filed TotalDebt of 29,622mm USD at 2025-12-31 over debt plus market capitalisation",
