# Raludotatug deruxtecan (R-DXd, MK-5909): the CDH6 DXd ADC Merck shares equally with Daiichi Sankyo.
# Only its two Merck-sponsored ovarian phase 3 trials are on file, both reading out in 2031 and 2032,
# so it launches in 2032 into first-line maintenance, priced off Enhertu.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,R-DXD,,US,base,therapy_mode,,,chronic,,"R-DXd is given until progression for up to two years in both phase 3 trials on file (NCT07743164, NCT07776691)","continuing therapy, capped at two years"
MRK,R-DXD,,US,base,list_price_per_patient,,0.06914,,mm USD,"Enhertu, CMS Medicare Part B 2024: $581,465,185 over 8,410 beneficiaries, $69,140 a beneficiary. Enhertu is Daiichi Sankyo's DXd ADC on the same linker and payload, and the closest comparator on file","a comparator, not a price this product has. Spending over beneficiaries counts patients treated for part of the year, so it sits below a full year of therapy"
MRK,R-DXD,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it","Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high. The 50% the AZN seeds take is a retail Part D convention and does not fit a drug bought and billed under Part B; Merck's Keytruda seed takes no haircut at all"
MRK,R-DXD,,US,base,discontinuation_pct,,0.6463,,share stopping a year,"no median is published for R-DXd in either setting. PRIMA (Gonzalez-Martin et al., N Engl J Med 2019, doi:10.1056/NEJMoa1910962), first-line niraparib maintenance, reports a median progression-free survival of 13.8 months in the overall population. At a constant hazard 0.5^(12/13.8) = 54.7% are on therapy after a year and none after two, the cap in both R-DXd trials, so the stock turns over as though 1 / (1 + 0.547) = 64.6% stopped each year","a maintenance analogue in the same line, not this molecule"
MRK,R-DXD,,US,base,forecast_start_year,,2032,,year,"the earliest primary completion among this asset's phase 3 trials: REJOICE-Ovarian05 (NCT07743164), August 2031, plus the time to file and launch","no filing is stated in Merck's 10-K or 10-Qs. REJOICE-Ovarian01 (NCT06161025), Daiichi Sankyo's phase 2/3 in platinum-resistant disease with Breakthrough Therapy designation, has a primary completion of February 2028 on ClinicalTrials.gov but is not on the trials table for this asset, so it neither dates nor sizes this forecast"
MRK,R-DXD,,US,base,economics_share,,0.5,,share,"Merck FY2025 10-K (0000310158-26-000063), Note 4, Daiichi Sankyo: the companies share research and development costs equally, Daiichi Sankyo records sales worldwide, and the companies equally share expenses as well as profits worldwide except Japan, where Daiichi Sankyo keeps exclusive rights and Merck receives a 5% sales-based royalty","for R-DXd Merck bears 75% of the first $2.0bn of research and development (same note), and owes up to $5.5bn of sales-based milestones; neither is charged here. Japan sits inside the ex-US multiple at half rather than a 5% royalty"
MRK,R-DXD,Ovarian Neoplasms,US,base,prevalence,,21010,,patients,"SEER Cancer Stat Facts, ovary: 21,010 estimated new US cases in 2026","newly diagnosed disease each year, the entry point to first-line maintenance"
MRK,R-DXD,Ovarian Neoplasms,US,base,incidence,,21010,,patients a year,"SEER Cancer Stat Facts, ovary: 21,010 estimated new US cases in 2026",
MRK,R-DXD,Ovarian Neoplasms,US,base,eligible_pct,,0.3536,,share of the pool,"72% diagnosed at regional (18%) or distant (54%) stage (SEER), times the 49.1% without homologous-recombination deficiency in PRIMA (360 of 733). That is REJOICE-Ovarian04's population (NCT07776691): first-line maintenance in HRD-negative stage III or IV disease after platinum, about 7,400 women a year","two filters are missing: the high-grade serous or endometrioid histology both trials require and response to first-line platinum, neither found as a US share, so the number leans high. REJOICE-Ovarian05's population, women progressing on a PARP inhibitor, is not added for lack of a figure, which leans the other way"
MRK,R-DXD,Ovarian Neoplasms,US,base,exus_multiple,,0.6804,,x US,"Keytruda, Merck's own infused oncology medicine and its closest marketed analogue: FY2025 sales outside the US of $12,812mm against $18,829mm in the US (asset_revenue_regions, SEC financial statement data sets), a ratio of 0.680","includes Japan, which is Daiichi Sankyo's alone"
