# ProQuad / M-M-R II / Varivax (MRK). The measles, mumps, rubella and varicella
# vaccines, 3.8% of Merck's FY2025 revenue.
#
# One asset for one reported line. Merck reports the three together and never splits
# them, so this is the group, and the three individual assets on file carry no revenue
# of their own. Nothing here divides the money between them, because the filing does not.
#
# Marketed, so revenue is anchored on what was reported rather than built from patients.
#
# The flattest line in the book: -1.6% on the halves, -1.4% on the years, four quarters
# within a hundred million of each other. A childhood immunisation schedule is bought by
# public programmes on a birth cohort, which is what a franchise with no growth and no
# cliff looks like. It fades to flat, which for this line is almost where it starts.
#
# No exclusivity is on file and none is expected: these are long off patent and hold
# their market on manufacturing rather than protection. The forecast runs to the horizon
# and the terminal value carries it, which the tab says out loud.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,ProQuad / M-M-R II / Varivax,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as one revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,ProQuad / M-M-R II / Varivax,,US,base,base_revenue,,2451,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)","the anchor, the group as reported. Its quarters are on file from Table 3 and sum to it"
MRK,ProQuad / M-M-R II / Varivax,,US,base,revenue_growth_pct,,-0.015679,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales (0001104659-26-090045, filed 2026-08-04): the group's own row, $1,130mm in the first half of 2026 against $1,148mm in the first half of 2025","the halves. The years say -1.4% on the same line, so the rate does not turn on which basis is taken, which is the opposite of the HPV franchise beside it"
MRK,ProQuad / M-M-R II / Varivax,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,ProQuad / M-M-R II / Varivax,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,ProQuad / M-M-R II / Varivax,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,ProQuad / M-M-R II / Varivax,,US,base,forecast_years,,10,,years,the horizon Keytruda carries,"no cliff to reach past, so the horizon is the convention rather than a date"
MRK,ProQuad / M-M-R II / Varivax,,US,base,pos,,1.0,,,approved and selling,"stated, because no phase applies to it"
MRK,ProQuad / M-M-R II / Varivax,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,ProQuad / M-M-R II / Varivax,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck asset carries"
MRK,"ProQuad / M-M-R II / Varivax",,US,base,other_costs_pct,,0.120975,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. The window barely matters here, unlike Pfizer: the same aggregate is 21.9% over five years and 21.3% over every year on file","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
