# Novo Nordisk revenue that no asset on file carries.
#
# Novo reports a "Rare blood disorders" line and, beneath it, NovoSeven, Haemophilia A
# and Haemophilia B. The three are seeded and the parent is not, because modelling both
# would count DKK 11.2bn twice. The parent is DKK 803mm larger than its three tagged
# members in FY2025, and that difference is rare blood products Novo does not break out.
# This line carries it, so the model reconciles to the reported total rather than falling
# short of it by the part the filer chose not to name.
#
# The figure is arithmetic on the filer's own two numbers, not an estimate: the parent
# line less the members printed under it. It has widened each year, 335 in 2023 and 395
# in 2024, as the named haemophilia products decline faster than the rest.
#
# Novo's other rare disease line: growth hormone and the rest of rare endocrine.
#
# The company runs two segments, Obesity and Diabetes care and Rare disease, and reports
# Rare disease as rare blood disorders, rare endocrine disorders and other rare disease.
# The blood products are tagged individually and the line above carries what they leave.
# Nothing under rare endocrine is tagged at all: no growth hormone product appears on the
# product axis, so the whole DKK 5,959mm sat outside the model.
#
# The figure needs saying carefully. It was read from Novo's own product axis by the
# product_revenue fetcher and is held in the snapshot table, entity product_revenue
# 6508:2025:FY, captured 2026-09-03 on refresh run 90, with 4,993 for 2024 and 3,836 for
# 2023 beside it. The member no longer appears in the data sets the app currently caches,
# and the 20-F on file defers its therapy table to an annual report the SEC does not hold,
# so this is the app's own recorded reading rather than a figure re-derivable today. It is
# corroborated by a document that is readable: the H1 2026 6-K (0000353278-26-000023) puts
# rare endocrine disorders at DKK 2,685mm for the half, 3% above the same half of 2025,
# which implies a first half of about 2,607 and a full year in the region of this number.
ticker,line,scenario,key,value,text_value,unit,source,note
NVO,Rare blood disorders not broken out,base,base_revenue,803,,mm DKK,"Novo Nordisk FY2025 20-F product axis (sec_fsds): the Rare blood disorders line of DKK 11,955mm less NovoSeven 7,326, Haemophilia A 2,414 and Haemophilia B 1,412, the three products tagged beneath it",arithmetic on the filer's own figures. Novo reports in kroner; the figure is as filed
NVO,Rare blood disorders not broken out,base,revenue_growth_pct,0.1032,,"annual, near term","the same subtraction a year earlier: 803 in FY2025 against 395 in FY2024 and 335 in FY2023, a compound 54.8% over two years, taken here at the rate of the whole rare blood line instead","the remainder has grown because the named products fall faster than the rest, which is a fact about the named products. Held at the parent line's own two-year rate, +10.3%, rather than at the remainder's, which compounds an accounting difference"
NVO,Rare blood disorders not broken out,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
NVO,Rare blood disorders not broken out,base,growth_fade_years,5,,years,convention: a recent rate describes next year,
NVO,Rare blood disorders not broken out,base,forecast_start_year,2026,,year,the year after the last reported full year,
NVO,Rare blood disorders not broken out,base,forecast_years,10,,years,the horizon Novo's marketed assets carry,
NVO,Rare blood disorders not broken out,base,pos,1.0,,,approved and selling,"stated, because no development phase applies"
NVO,Rare blood disorders not broken out,base,cogs_pct,0.1902,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Rare blood disorders not broken out,base,sga_pct,0.227393,,share of revenue,"NVO FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, 5,969mm DKK for FY2025, leaves out the 64,310mm DKK of selling or distribution costs NVO reports as a line of its own, tagged under its own concept SellingExpenseAndDistributionCosts (20-F 0000353278-26-000012, SEC financial statement data sets), so SG&A rises from 1.93% to 22.74% of revenue.",
NVO,Rare blood disorders not broken out,base,rd_pct,0.1684,,share of revenue,"NVO FY2025, from the filed lines",
