# Fianlimab (REGN): REGN3767, a fully human anti-LAG-3 antibody, given with Regeneron's own
# cemiplimab (Libtayo). Modelled in adjuvant melanoma only: the Phase 3 against pembrolizumab in
# resected stage IIB to IV melanoma (NCT05608291, n=1,564, primary completion 2026-07-27) passed
# both interim analyses and reports its final analysis in the fourth quarter of 2026 (10-Q
# 0000872589-26-000025). First-line metastatic disease is not modelled: its Phase 3 against
# pembrolizumab missed PFS (NCT05352672, high dose HR 0.845, p=0.0627, Regeneron release of
# 15 May 2026), and the head-to-head against Opdualag (NCT06246916, n=560, ORR primary, completes
# 2027-03-22) is its only remaining route; the engine gives the asset one probability, so adding
# a failed setting would price it at the adjuvant trial's odds. NSCLC did not advance to Phase 3,
# and HNSCC and the perioperative settings are Phase 2. Fianlimab revenue only: the cemiplimab
# given with it is Libtayo's and sits in regn_libtayo.csv, so none of it is counted here, which
# leans low. Royalty: Sanofi is entitled to royalties on sales (10-Q footnote f) at a single rate
# redacted from the filed Amended IO Discovery Agreement (FY2018 10-K Exhibit 10.17, section 4.3,
# REGN3767 on Schedule 7), so economics_share is none found and revenue is overstated by that
# rate. The Fianlimab+cemiplimab regimen row folds into this one (data/asset_alias_map.csv).
#
# Company-level rows copied from regn_odronextamab.csv.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
REGN,Fianlimab,,US,base,beta,,0.77,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.65 raw)",
REGN,Fianlimab,,US,base,cogs_pct,,0.0,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Fianlimab,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
REGN,Fianlimab,,US,base,debt_weight,,0.021715,,,"filed TotalDebt of 1,986mm USD at 2025-12-31 over debt plus market capitalisation",
REGN,Fianlimab,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
REGN,Fianlimab,,US,base,other_costs_pct,,0.056184,,share of revenue,"derived: REGN turned 27.89% of revenue into free cash over 2023 to 2025 against the 36.1% its filed expense lines leave. Restated before interest: REGN paid $167mm of interest inside operating cash flow over 2023 to 2025, 0.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 9.20% to 8.79%. Restated at replacement capex: REGN spent $2,373mm on plant over 2023 to 2025 against $1,048mm of depreciation and amortisation less amortisation of intangibles, 3.18% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 8.79% to 5.24%. Restated without one-off cash: REGN's free cash flow over 2023 to 2025 carried $411mm of deal payments in operating cash flow, capital allocation whose assets the book values separately. None recurs, so the charge falls from 5.24% to 4.25%. Restated without working capital build: over 2023 to 2025 REGN's cash flow statement shows receivables up $395mm, inventories up $1,167mm, payables and accrued liabilities up $2,070mm, a working capital release of $509mm, 1.22% of revenue. A release flatters the window once and does not recur, so the charge rises from 4.25% to 5.62%. Rebuilt on the book's own ratios on 0.4039 of the revenue they are struck on, against 0.3477 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is 5.6184%.",
REGN,Fianlimab,,US,base,rd_pct,,0.4079,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Fianlimab,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
REGN,Fianlimab,,US,base,sga_pct,,0.1882,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Fianlimab,,US,base,tax_rate,,0.1058,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
