# Jakavi (NVS). $2,110mm in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier. Both figures come from the SEC financial statement data sets, tagged
# in the same filing, so the pair needs no reading of a table to establish.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVS,Jakavi,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
NVS,Jakavi,,US,base,base_revenue,,2110.0,,mm USD,"NVS FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
NVS,Jakavi,,US,base,revenue_growth_pct,,0.089876,,"annual, near term","the same product axis a year earlier: $2,110mm in FY2025 against $1,936mm in FY2024, both from the SEC financial statement data sets. The comparative year is tagged in the same filing as the anchor",the last reported year over the one before it
NVS,Jakavi,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
NVS,Jakavi,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
NVS,Jakavi,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
NVS,Jakavi,,US,base,forecast_years,,10,,years,"no exclusivity on file, so the horizon is the convention",
NVS,Jakavi,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
NVS,Jakavi,,US,base,cogs_pct,,0.2512,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Jakavi,,US,base,sga_pct,,0.2429,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Jakavi,,US,base,rd_pct,,0.2054,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Jakavi,,US,base,other_costs_pct,,0.0,,share of revenue,"derived and found to be nil: NVS's filed expense lines already leave less than the 31.44% of revenue it turned into free cash over 2023 to 2025, so there is nothing left to charge","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
NVS,Jakavi,,US,base,tax_rate,,0.114,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
NVS,Jakavi,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
NVS,Jakavi,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
NVS,Jakavi,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.42 raw)",
NVS,Jakavi,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",
NVS,Jakavi,,US,base,debt_weight,,0.085397,,,"filed TotalDebt of $28,729mm over debt plus market capitalisation: 1,908.2mm shares at 2025-12-31 at the $161.25 close of 2026-09-01",
