# Lenvima (MRK). $1,053mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients. Growth is read off Table 3, which prints this line's own quarters.
#
# Alliance revenue, not product sales: the figure is Merck's share of profits and
# is already net of cost of sales and commercialisation costs, so those two ratios
# are zero here rather than the company's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Lenvima,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as its own revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,Lenvima,,US,base,base_revenue,,1053.0,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor. Its quarters are on file from Table 3 and sum to it
MRK,Lenvima,,US,base,revenue_growth_pct,,0.030593,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales: $539mm in the first half of 2026 against $523mm in the first half of 2025","the halves, which is the most recent full comparison the filing gives"
MRK,Lenvima,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,Lenvima,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,Lenvima,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,Lenvima,,US,base,forecast_years,,10,,years,"no cliff to reach past, so the horizon is the convention",
MRK,Lenvima,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies to it"
MRK,Lenvima,,US,base,cogs_pct,,0.0,,share of revenue,"Table 3 footnote: alliance revenue represents the Company's share of profits, which are product sales net of cost of sales and commercialization costs","zero, because the figure is already net of it. Merck's own ratio would charge a cost the reported number has taken off"
MRK,Lenvima,,US,base,sga_pct,,0.0,,share of revenue,"Table 3 footnote: alliance revenue represents the Company's share of profits, which are product sales net of cost of sales and commercialization costs","zero, because the figure is already net of it. Merck's own ratio would charge a cost the reported number has taken off"
MRK,Lenvima,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Lenvima,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck asset carries"
